Account Name,MRR_Calculated,Employees,Website,Primary_Business_Type,Sample_Products
accurateforklift3,1888.0,25.0,accurateforklift.net,Service-Based,"FUEL SURCHARGE, SHOP SUPPLIES, Rental"
LappStructures,1421.0,0.0,mycbsadvisor.com,,
rlhindustriesinc2,1164.0,18.0,fiberopticlink.com,Product-Based (Mixed Inventory),"RLH-SHIPPING, SI01, RLH-DRB-2"
celluma,1122.0,15.0,,Product-Based (Mixed Inventory),"Shipping, Shopify Taxes, COTC-001"
mpactbeverage2,1082.0,50.0,mpactbeverage.com,Product-Based (Mixed Inventory),"Fuel Surcharge, 704-18927/ Island Rita 5 gal, 714-18927 /5 gal Hip-Notical"
php,1080.0,33.0,,Product-Based (Mixed Inventory),"FRT/1, PSH/1, Sales Tax"
pma13,1067.0,1.0,clarkesystems.com,Inventory-Based (Physical Products),"MS999, FRT999, Deposit"
usafleetsolutions,1003.0,51.0,,Service-Based,"Recurring Service:MRT - Pro, Recurring Service:MRT - ProPlus, Recurring Service:MRT 5200  03-10 units (deleted)"
sunshinellc2023,932.0,8.0,lpiinc.com,Product-Based (Mixed Inventory),"155-00009, 155-00001, 155-00002"
enzusainc,846.0,19.0,enz.com,Inventory-Based (Physical Products),"Sub, Shipping, Freight"
cathxmedicalinc2,844.0,61.0,zeusinc.com,Hybrid (Mixed),"Braided Catheter (OA) CA, Extrusion Service (OA), Extrusions (OA)"
eneconcorporation,833.0,0.0,,Product-Based (Mixed Inventory),"Freight, Administrative, Logistic, and, MT-100"
aquamatic,800.0,73.0,,Product-Based (Mixed Inventory),"Sales:X7 Various Sales:OLD DNU P & H, Sales:X1 Product Install Sales:Parts Sales, Sales:X8 Freight Sales"
summitlaboratories2,783.0,21.0,summitlaboratories.com,Product-Based (Mixed Inventory),"Service Contract - Monthly, Finished Chemicals:F-290 (05-gal pail), Project Revenue"
vis2,755.0,17.0,,Product-Based (Mixed Inventory),"Shipping & Handling-Supplies, JLT-O, Shipping & Handling Charges"
mytcoatcommercialoutdoorfurniture,613.0,116.0,mytcoat.com,NonInventory-Based (Digital/Services),"FREIGHT BILL TO CUSTOMER, Subtotal, MCI Surcharge"
kearfabrication,586.0,53.0,kearmfg.com,Product-Based (Mixed Inventory),"Deposit - CDN, Freight & Duties Revenue - US, Deposit - US"
elecraft7,555.0,71.0,,NonInventory-Based (Digital/Services),"Shipping & Handling, Subtotal, Misc Parts"
jafedecorating,534.0,89.0,jafedeco.com,NonInventory-Based (Digital/Services),"Samples, Lot Charge, Print / Decal"
cfsusa1,534.0,63.0,,Service-Based,"TMSHOP Day, MACH 02-7  Night Nuclear RT, MACH 02-7  Day Nuclear RT"
boutiqueampsdistribution,507.0,52.0,boutiqueampsdistribution.com,Product-Based (Mixed Inventory),"FREIGHT, REPAIR, WAMPLER.:PEDAL:TUMNUS"
interstategraphics,492.0,0.0,,Service-Based,"Sales- Digital, Sales- Banner, Sales- Litho/Offset"
raybiotech,490.0,0.0,,Inventory-Based (Physical Products),"Handling, Shipping, TrackingNo."
holdit,488.0,21.0,holdit.co.za,NonInventory-Based (Digital/Services),"SHIPPING AND DELIVERY:Delivery Fee, Custom Holdit, STRIPS:STRiPS WITH TAPE:Strips+:H33/1000TBLK"
cdsanalytical,480.0,6.0,,Product-Based (Mixed Inventory),"Discount:15%, Discount:Empore 33%, Freight Service:UPS Tracking"
hmtca,440.0,28.0,,NonInventory-Based (Digital/Services),"SHIPPING, HMT_METRIC:PARTS, OSS_PARTS"
ascocarbondioxideinc,405.0,2.0,,NonInventory-Based (Digital/Services),"CO2 / Dry Ice:Liquid Carbon Dioxide lbs. TFS, Transport:Shipping and Handling, CO2 / Dry Ice:LCO2 Delivery Charge - TFS"
rainbowconcreteindustrieslimited,405.0,114.0,,NonInventory-Based (Digital/Services),"40910, 41000, EWC"
appackagingcorp,401.0,53.0,,NonInventory-Based (Digital/Services),"REFERENCE, CB1224P, CB31612P"
tippmannarmscompanyllc,394.0,91.0,,NonInventory-Based (Digital/Services),"Shipping, FGA:A201040, A20100-25L"
northamericamattresscorp,383.0,32.0,namattress.com,Product-Based (Mixed Inventory),"Freight add, Discount 35%, 161-75398"
sumakenorthamericaMT,366.0,3.0,,,
atlanticgraphics,365.0,61.0,,Service-Based,"PARTS, FREIGHT:FREIGHT, SHIPPING"
digpig,353.0,0.0,digpig.ca,,
dylanwilliamscpa,349.0,219.0,,NonInventory-Based (Digital/Services),"Freight-Out, Customer Deposit - Applied, 2022 Park Model Available Options:NDI and Document fee"
sylvacorp,346.0,61.0,sylvacorp.com,Hybrid (Mixed),"Finished Goods:Bagged Mulch 2 CF Bag:MENARDS Bagged Mulch 2 CF Bag:5* Brown 1803044, Finished Goods:Bagged Mulch 2 CF Bag:MENARDS Bagged Mulch 2 CF Bag:5* Red 1803036, Finished Goods:Bagged Mulch 2 CF Bag:MENARDS Bagged Mulch 2 CF Bag:5* Black 1803038"
kuumbamadeCo2,336.0,135.0,kuumbamade.com,Product-Based (Mixed Inventory),"zShipping/Handling, 711, 321"
ranchandcointeriors,336.0,1.0,gmail.com,NonInventory-Based (Digital/Services),"Shipping, Freight, Discount"
artbrandsholdings,329.0,0.0,,Inventory-Based (Physical Products),"MISC, Shipping, CT-DTF-GS"
