Item,ItemType,Count,Account
Services,Service,3,royalpalnfloors
DUMPSTER,Service,1,royalpalnfloors
TREAD,Inventory,1,royalpalnfloors
LAMINATE:LAMINATE,Inventory,1,royalpalnfloors
INVE,Inventory,1,royalpalnfloors
Carpet:Mohawk Carpet,Inventory,1,royalpalnfloors
Accounting:ACC003,Service,501,eworkflows
Accounting:ACC01,Service,226,eworkflows
Software:ePoduce Subscription,NonInventory,214,eworkflows
Accounting:ACC02,Service,121,eworkflows
QB002,Service,89,eworkflows
QB001,Service,53,eworkflows
Software:Software Development,NonInventory,42,eworkflows
App001,NonInventory,31,eworkflows
Template Subscription,Service,28,eworkflows
Integration Subscription,Service,27,eworkflows
Travel Exp,Service,6,eworkflows
Software Implementation & Training,Service,5,eworkflows
App New Features/Enhancements,Service,3,eworkflows
Accounting:QBO 001,Service,3,eworkflows
Platform Integration,Service,3,eworkflows
Data Migration,Service,3,eworkflows
Custom Programing - Coding,Service,2,eworkflows
Sales,Service,1,eworkflows
N/R SQS,Service,1,eworkflows
Credit Allowance,Service,1,eworkflows
FRESH PRODUCE:SPANISH COLOSSAL ONION - 50 Lb Bag,Inventory,39881,laaztecafoods
FRESH PRODUCE:TOMATO - 5X6 Case,Inventory,34263,laaztecafoods
FRESH PRODUCE:GREEN BELL PEPPERS - Case,Inventory,24624,laaztecafoods
FRESH PRODUCE:CILANTRO MEXICAN - 60 Ct - Case,Inventory,23561,laaztecafoods
TORTILLAS & CHIPS:MICHOACANA - WHITE CHIPS 4-CUT - 30 Lbs,Inventory,20903,laaztecafoods
FRESH PRODUCE:LIME - 230 Ct Case,Inventory,20744,laaztecafoods
FRESH PRODUCE:AVOCADO (RIPE) - 70 Ct Case,Inventory,19699,laaztecafoods
FRESH PRODUCE:AVOCADO (RIPE) - 60 Ct Case,Inventory,17587,laaztecafoods
"TORTILLAS & CHIPS:MICHOACANA - 6"" FLOUR - 60pk/10ct, Case",Inventory,16526,laaztecafoods
FRESH PRODUCE:FRESH TOMATILLO - CASE,Inventory,16297,laaztecafoods
FRESH PRODUCE:FRESH JALAPENO - Case,Inventory,15161,laaztecafoods
FRESH PRODUCE:ROMA TOMATO - Case,Inventory,14635,laaztecafoods
BEVERAGES & MIXERS:COCA COLA - 24pk/12oz - MEXICO GLASS,Inventory,12642,laaztecafoods
FRESH PRODUCE:CELLO LETTUCE - 24 Ct Case,Inventory,12513,laaztecafoods
TORTILLAS & CHIPS:MICHOACANA - YELLOW CHIPS 4-CUT - 30 Lbs,Inventory,12343,laaztecafoods
DRY GROCERIES:RICELAND 50# (WHITE EXTRA LONG GRAIN),Inventory,10071,laaztecafoods
"TORTILLAS & CHIPS:EL MILAGRO - YELLOW 6"" CORN - 16pk/30ct Case",Inventory,9513,laaztecafoods
FRESH PRODUCE:AVOCADO (RIPE) - 48 Ct Case,Inventory,9163,laaztecafoods
FRESH PRODUCE:RED PEPPER - Case (11 Lb),Inventory,8441,laaztecafoods
"TORTILLAS & CHIPS:MICHOACANA - 10"" FLOUR - 10ct/Pack",Inventory,8436,laaztecafoods
FRESH PRODUCE:SHREDDED LETTUCE - 4pk/5 Lb Case,Inventory,8139,laaztecafoods
DRY GROCERIES:HEARTLAND - PINTO BEAN - 50 Lb Bag (PREWASHED WHITE BAG),Inventory,6711,laaztecafoods
"TORTILLAS & CHIPS:EL MILAGRO - YELLOW 5"" TAQUERA - 24pk/30ct Case",Inventory,6405,laaztecafoods
"JANITORIAL SUPPLIES:MATADOR - OVEN & GRILL DEGREASER - 4pk/Gallon, Case",Inventory,5840,laaztecafoods
FRESH PRODUCE:YELLOW PEPPER - CASE (11 Lb),Inventory,5664,laaztecafoods
FRESH PRODUCE:RED ONION - 25 Lb Bag,Inventory,5371,laaztecafoods
BEVERAGES & MIXERS:JARRITOS - MANDARIN - 24pk/12.5oz GLASS,Inventory,5361,laaztecafoods
DRY GROCERIES:LOBO - PINTO BEAN - 50 Lb Bag (deleted),Inventory,5291,laaztecafoods
FRESH PRODUCE:BI-COLOR FRESH CORN - Case,Inventory,4764,laaztecafoods
"TORTILLAS & CHIPS:EL MILAGRO - 12"" FLOUR - 12pk/12ct Case",Inventory,4555,laaztecafoods
BEVERAGES & MIXERS:JARRITOS - PINEAPPLE - 24pk/12.5oz GLASS,Inventory,4289,laaztecafoods
"TORTILLAS & CHIPS:MICHOACANA - 12"" FLOUR - 10ct/Pack",Inventory,4247,laaztecafoods
"PAPER & DISPOSABLES:ECOPAX - WHITE FOAM - 9""/ 1-COMPARTMENT - #RE993S (BLACK LETTERS)",Inventory,4187,laaztecafoods
