account,industry,sub_industry,workflow_pattern,total_events,classification_source,confidence,website,annual_sales,qbo_industry
magicbreezekombucha,Food & Beverage,Craft Beverages (Kombucha),crm_pipeline,8,manual_verification,high,,"378,232",Breweries
synova,Other,Unclassified,crm_pipeline,41,unclassified,,,"543,720",Manufacturing
ssisanitary,Other,Unclassified,quote_driven,58,unclassified,,,"2,856,173",
allmakeappliances,Retail,Appliances,transactional,268,llm_classification,medium,,"7,080,078",
hyfloequipmentcompany3,Other,Unclassified,crm_pipeline,14,unclassified,,,"4,896,034",Manufacturing
stickersandmore4,Consumer Goods,Signs/Labels,quote_driven,40,llm_classification,medium,,0,GeneralProductbasedBusiness
battlerattle,Food & Beverage,Spirits,transactional,55,llm_classification,medium,,"170,625",OtherNone
americansafetyandfirehouse,Security Equipment,Safes/Security,crm_pipeline,19,llm_classification,medium,,"1,224,781",
missionlaundryequipment3,Other,Unclassified,crm_pipeline,16,unclassified,,,"950,094",
cassinala2,Furniture,Furniture,crm_pipeline,78,llm_classification,medium,,"604,839",All other miscellaneous store retailers (except tobacco stores)
peakperformancecampers,Sports & Recreation,Outdoor/Camping,crm_pipeline,13,llm_classification,medium,,"2,916,150",Travel trailer and camper manufacturing
industrimax2,Other,Unclassified,crm_pipeline,12,unclassified,,,"3,842,036",
formersinternational5,Manufacturing,Food Packaging Equipment,quote_driven,41,llm_classification,medium,formers.com,"6,436,296",Manufacturing
deansbeansorganiccoffee4,Food & Beverage,Coffee Roasting,crm_pipeline,18,manual_verification,high,deansbeans.com,"3,665,019",accounting_bookkeeping
concealite,Other,Unclassified,quote_driven,46,unclassified,,,"713,400",
gsinks,Other,Unclassified,crm_pipeline,22,unclassified,,,0,Printing machinery and equipment manufacturing
norwooddeviceanddiagnostics,Construction & Building,Lumber,crm_pipeline,153,llm_classification,medium,,"7,560,340",
g3packaging2,Food & Beverage,Spirits,crm_pipeline,13,llm_classification,medium,,0,Manufacturing
burnewiin2,Other,Unclassified,crm_pipeline,10,unclassified,,,"887,664",Manufacturing
gorillahammers4,Other,Unclassified,crm_pipeline,261,unclassified,,,"91,679",
lumerasolarinc,Electrical,Solar,crm_pipeline,14,llm_classification,medium,,"427,980",
moderncompressorsales,Industrial,Compressor Equipment,quote_driven,2752,manual_verification,high,,"2,410,967",
acentel,Other,Unclassified,quote_driven,32,unclassified,,,"28,154,910",WholesaleDistributionandSales
nxtchlng,Construction & Building,Doors & Windows,crm_pipeline,10,llm_classification,medium,,"3,486,906",Institutional furniture manufacturing
radsuramerica,Other,Unclassified,quote_driven,96,unclassified,,,"10,258,038",WholesaleDistributionandSales
gothamlgt,Other,Unclassified,quote_driven,77,unclassified,,,0,
hendersonenterprises,Other,Unclassified,quote_driven,84,unclassified,,,"6,049,724",
appenninofoodusa,Food & Beverage,Spirits,transactional,509,llm_classification,medium,,"4,753,766",
sierracontainergroup,Other,Unclassified,crm_pipeline,13,unclassified,,,"77,293,163",
cuveecoffee,Food & Beverage,Coffee Roasting,crm_pipeline,47,manual_verification,high,,"4,855,049",
fibercablesdirect,Technology,Fiber Optics,quote_driven,230,manual_verification,high,,"2,797,681",
koolwaysports,Consumer Goods,Adaptive Fashion,crm_pipeline,8,manual_verification,high,,"133,080",
icustomlabel,Food & Beverage,Spirits,crm_pipeline,11,llm_classification,medium,,"69,435",
audioconcepts,Consumer Goods,Jewelry,crm_pipeline,38,llm_classification,medium,,0,Audio and video equipment retail
blackstonesportsinc2,Construction & Building,Concrete/Masonry,crm_pipeline,68,llm_classification,medium,,"1,164,970",
industrialodorcontrol2,Other,Unclassified,crm_pipeline,82,unclassified,,,"1,052,340",GeneralProductbasedBusiness
wmuniformgroup,Other,Unclassified,crm_pipeline,22,unclassified,,,"674,284",OtherNone
commonwealthindustrialinc,Food & Beverage,Spirits,crm_pipeline,9,llm_classification,medium,,"854,264","manufacturing equipment sales, service, maintenance"
woodlabuae,Construction & Building,Lumber,quote_driven,68,llm_classification,medium,,"1,952,400",Manufacturing
geotoolsusa,Industrial,Tools/Hardware,crm_pipeline,20,llm_classification,medium,,"1,772,736",Manufacturing
socalfencesupply2,Construction & Building,Fencing/Decking,transactional,915,llm_classification,medium,,"1,912,491",GeneralProductbasedBusiness
diamondbladedistributorsllc,Consumer Goods,Jewelry,transactional,62,llm_classification,medium,,"8,343,905",WholesaleDistributionandSales
planesights,Industrial,Aerospace Safety Equipment,crm_pipeline,10,llm_classification,medium,,"418,529",GeneralProductbasedBusiness
questonedistributors,Construction & Building,Concrete/Masonry,crm_pipeline,18,llm_classification,medium,,"2,589,390",
namesakebrewing,Food & Beverage,Craft Beer,crm_pipeline,9,manual_verification,high,,"182,801",
stevenenterprises2,Other,Unclassified,quote_driven,2440,unclassified,,,"5,752,542",GeneralProductbasedBusiness
smakdab,Food & Beverage,Wine,transactional,59,llm_classification,medium,,"393,005",
georgiapowdercoating3,Manufacturing,Powder Coating Services,transactional,12812,llm_classification,medium,,"10,479,206",Powder Coating
accesscasters3,Industrial,Casters & Wheels,crm_pipeline,102,manual_verification,high,accesscasters.com,0,wholesale_distribution
davishoseinc,Industrial,Industrial Hose,transactional,1996,manual_verification,high,,"2,197,710",Industrial supplies merchant wholesalers
capitalabrasivesllc,Industrial,Abrasives,crm_pipeline,105,llm_classification,medium,,0,WholesaleDistributionandSales
harbertcastingrepair,Manufacturing,Machining & Repair,quote_driven,373,llm_classification,medium,,"1,087,402",Machine shops
gulfharvest2,Other,Unclassified,transactional,230,unclassified,,,"3,804,444",OtherNone
categorycreations,Other,Unclassified,transactional,116,unclassified,,,"767,518",Other miscellaneous nondurable goods merchant wholesalers
ezbrandsllc,Consumer Goods,Promotional Products,transactional,176,llm_classification,medium,,"1,243,881",
armal,Manufacturing,Portable Sanitation,crm_pipeline,1686,llm_classification,medium,armal.biz,"4,014,571",All other plastics product manufacturing
heavisideindustriesinc,Other,Unclassified,crm_pipeline,62,unclassified,,,"6,740,011",Manufacturing
steelecomponents,Industrial,Ammunition Components,crm_pipeline,12,llm_classification,medium,,"2,133,329",GeneralServicebasedBusiness
