Account Name,MRR_Calculated,SAAS Amount to Date,Industry_Cluster_Enhanced_V2,Company_Size_V2,Business_Type_V2,Signup Country,Employees,Users,Custom Screens New,Custom Screens Classic,MRR_Rank,MRR_Cumulative_Pct,MRR_Percentile,LTV_Rank,LTV_Cumulative_Pct,LTV_Percentile,MRR_Tier,LTV_Tier
royalpalnfloors,54.75,,General Retail,Micro (1-5 employees),B2B,United States,1.0,1.0,0.0,0.0,586.0,91.75387058730641,54.41039925719592,,,,Bottom 50%,No Revenue
eworkflows,63.75,,General Wholesale/Distribution,Micro (1-5 employees),B2B,United States,1.0,1.0,2.0,0.0,530.0,89.47694531927117,49.21077065923863,,,,Top 50%,No Revenue
laaztecafoods,44.25,,General Wholesale/Distribution,Small (6-20 employees),B2B,Mexico,19.0,1.0,1.0,0.0,691.0,95.1935548118307,64.15970287836583,,,,Bottom 50%,No Revenue
minagroafricaresources,127.5,,General/Specialty Manufacturing,Unknown,B2B,Zimbabwe,0.0,2.0,0.0,0.0,330.0,76.58828644561854,30.64066852367688,,,,Top 50%,No Revenue
btlrtl2,44.25,,General Retail,Unknown,B2B,United States,0.0,1.0,0.0,0.0,690.0,95.16390676579522,64.06685236768801,,,,Bottom 50%,No Revenue
latortillavelozinc,81.0,,Food & Beverage Dist/Mfg,Unknown,Hybrid (B2B & B2C),Canada,0.0,2.0,0.0,0.0,471.0,86.59877331125777,43.73259052924791,,,,Top 50%,No Revenue
sunshinedaydreamfarm,88.5,,General Wholesale/Distribution,Unknown,B2B,United States,0.0,2.0,0.0,0.0,456.0,85.74517759037198,42.33983286908078,,,,Top 50%,No Revenue
bcfluidpowerofflorence3,63.75,,General Wholesale/Distribution,Micro (1-5 employees),B2B,United States,2.0,1.0,0.0,0.0,535.0,89.69051175257758,49.675023212627664,,,,Top 50%,No Revenue
goldanddiamonds,63.75,,General Retail,Micro (1-5 employees),Hybrid (B2B & B2C),United Kingdom,1.0,1.0,1.0,0.0,544.0,90.07493133252908,50.51067780872794,,,,Bottom 50%,No Revenue
zendeskinc2,63.75,,General Retail,Micro (1-5 employees),B2B,United States,2.0,1.0,0.0,0.0,543.0,90.0322180458678,50.41782729805014,,,,Bottom 50%,No Revenue
synergyelectricsales,118.5,,General Wholesale/Distribution,Large (51-200 employees),B2B,United States,173.0,2.0,0.0,0.0,375.0,80.25861404295948,34.81894150417828,,,,Top 50%,No Revenue
emblembuilt,109.5,,General/Specialty Manufacturing,Small (6-20 employees),B2B,United States,12.0,2.0,0.0,0.0,395.0,81.76742599779313,36.67595171773444,,,,Top 50%,No Revenue
koatji3,54.75,,General Wholesale/Distribution,Unknown,B2B,United States,0.0,1.0,0.0,0.0,588.0,91.82723693851284,54.59610027855153,,,,Bottom 50%,No Revenue
judeclothingservice,63.75,,General/Specialty Manufacturing,Unknown,B2B,United States,0.0,1.0,0.0,0.0,540.0,89.90407818588396,50.13927576601671,,,,Bottom 50%,No Revenue
hengemiami,63.75,,General Retail,Unknown,B2B,United States,0.0,1.0,0.0,0.0,536.0,89.73322503923885,49.76787372330548,,,,Top 50%,No Revenue
arkconcrete,91.5,,Building Materials & Construction,Enterprise (200+ employees),B2B,United States,415.0,2.0,0.0,0.0,440.0,84.78862330660593,40.85422469823584,,,,Top 50%,No Revenue
mccartyofficemachinesinc,185.25,,General Wholesale/Distribution,Unknown,B2B,United States,0.0,5.0,0.0,0.0,251.0,68.25551047880036,23.30547818012999,,,,Top 50%,No Revenue
hydroeci,63.75,,Apparel & Textiles,Unknown,B2B,Canada,0.0,1.0,0.0,0.0,521.0,89.09252573931965,48.37511606313834,,,,Top 50%,No Revenue
plainhonest,44.25,,General Retail,Unknown,B2B,United States,0.0,1.0,0.0,0.0,689.0,95.13425871975974,63.97400185701021,,,,Bottom 50%,No Revenue
castlebar3,63.75,63.75,General Wholesale/Distribution,Unknown,B2B,,0.0,1.0,0.0,0.0,526.0,89.30609217262607,48.83936861652739,984.0,99.99442033292092,98.89447236180905,Top 50%,Bottom 50%
bellevilleindustries,44.25,,General/Specialty Manufacturing,Unknown,B2B,United States,0.0,1.0,0.0,0.0,688.0,95.10461067372427,63.88115134633241,,,,Bottom 50%,No Revenue
devtrial,44.25,,General/Specialty Manufacturing,Unknown,B2B,United States,0.0,1.0,7.0,0.0,687.0,95.07496262768879,63.788300835654596,,,,Bottom 50%,No Revenue
intelligentvistamedinc,63.75,,General Retail,Unknown,B2B,Canada,0.0,1.0,0.0,0.0,523.0,89.17795231264223,48.56081708449396,,,,Top 50%,No Revenue
pipeandmetalcenteroftexas,54.75,,General Wholesale/Distribution,Unknown,B2B,United States,0.0,1.0,0.0,0.0,589.0,91.86392011411606,54.68895078922934,,,,Bottom 50%,No Revenue
woodfieldpress,53.25,,General Wholesale/Distribution,Small (6-20 employees),B2B,United States,14.0,1.0,0.0,0.0,597.0,92.15286293564824,55.43175487465181,,,,Bottom 50%,No Revenue
mobilitycityoflubbocktx,78.4,40.0,Medical Equipment & Supplies,Unknown,B2B,United States,0.0,0.0,0.0,0.0,489.0,87.55970500897708,45.40389972144847,993.0,99.99917847912704,99.79899497487436,Top 50%,Bottom 50%
cajunkleenproductsllc,53.25,,General/Specialty Manufacturing,Small (6-20 employees),B2B,United States,7.0,1.0,0.0,0.0,598.0,92.18854109274177,55.524605385329615,,,,Bottom 50%,No Revenue
saeed3,63.75,,General/Specialty Manufacturing,Unknown,B2B,United Arab Emirates,0.0,1.0,0.0,0.0,520.0,89.04981245265839,48.282265552460544,,,,Top 50%,No Revenue
doorsmith,106.5,,General/Specialty Manufacturing,Medium (21-50 employees),B2B,United States,43.0,2.0,0.0,0.0,402.0,82.27328531433062,37.32590529247911,,,,Top 50%,No Revenue
dvt,54.75,,General/Specialty Manufacturing,Unknown,B2B,United States,0.0,1.0,0.0,0.0,591.0,91.93728646532249,54.874651810584965,,,,Bottom 50%,No Revenue
harmonyalexapressllc,44.25,,Packaging & Printing,Unknown,B2B,United States,0.0,1.0,0.0,0.0,686.0,95.04531458165332,63.69545032497679,,,,Bottom 50%,No Revenue
comfortworkspace,164.25,,General Wholesale/Distribution,Unknown,B2B,United Kingdom,0.0,3.0,5.0,0.0,280.0,71.68513614307362,25.998142989786444,,,,Top 50%,No Revenue
trinivamanagementgroup,63.75,,General/Specialty Manufacturing,Unknown,B2B,Chile,0.0,1.0,0.0,0.0,532.0,89.56237189259373,49.396471680594246,,,,Top 50%,No Revenue
capitalsuppliesinc,54.75,,General Wholesale/Distribution,Micro (1-5 employees),B2B,United States,2.0,1.0,1.0,0.0,587.0,91.79055376290962,54.50324976787372,,,,Bottom 50%,No Revenue
aqbconsultancy,54.75,,General Retail,Unknown,B2B,Pakistan,0.0,1.0,0.0,0.0,590.0,91.90060328971927,54.78180129990715,,,,Bottom 50%,No Revenue
evitabletransportationagencyllc2,191.25,,General Wholesale/Distribution,Unknown,B2B,United States,0.0,3.0,0.0,0.0,244.0,67.37678929517264,22.65552460538533,,,,Top 50%,No Revenue
jrunited3,44.25,,General Wholesale/Distribution,Unknown,B2B,United States,0.0,1.0,0.0,0.0,685.0,95.01566653561785,63.602599814298976,,,,Bottom 50%,No Revenue
miltonwbosleyandco,257.25,,General/Specialty Manufacturing,Unknown,B2B,United States,0.0,5.0,0.0,0.0,158.0,54.57114495041934,14.670380687093779,,,,Top 20%,No Revenue
unitedglobaltradingcorp9,63.75,,General Wholesale/Distribution,Unknown,B2B,United States,0.0,1.0,0.0,0.0,524.0,89.2206655993035,48.653667595171775,,,,Top 50%,No Revenue
