account,company_name,industry,sub_industry,workflow_pattern,classification_source,confidence,ltv,mrr,users,account_age_days,annual_sales,qb_customers,health_score,total_events,invoices,estimates,opportunities,activities,industry_account_count,industry_avg_ltv,industry_median_ltv,industry_total_ltv,industry_avg_users,industry_median_users,industry_avg_mrr,industry_median_mrr,industry_avg_invoices,industry_avg_estimates,industry_avg_opportunities,industry_avg_activities,sub_account_count,sub_avg_ltv,sub_median_ltv,sub_avg_users,sub_median_users,sub_avg_mrr,sub_avg_invoices,sub_avg_estimates,sub_avg_opportunities,sub_avg_activities,website,description,product_types,product_complexity,mwd_vertical,sector,signup_date,qbo_industry
magicbreezekombucha,Magic Breeze Kombucha Inc.,Food & Beverage,Craft Beverages (Kombucha),crm_pipeline,manual_verification,high,97.5,,2.0,,378232,67.0,53.0,8,0,0,8,0,104,8471.14,5181.5,880999.07,5.68,4.0,458.81,380.0,594.49,252.85,46.83,1631.37,1.0,97.5,97.5,2.0,2.0,,0.0,0.0,8.0,0.0,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),,2025-12-13,Breweries
synova,"Ag-Hort Solutions, L.L.C.",Other,Unclassified,crm_pipeline,unclassified,,99.0,,2.0,,543720,926.0,46.0,41,0,0,41,0,152,6979.17,3633.75,1060834.36,4.39,3.0,425.19,360.0,67.87,106.99,45.09,274.05,,,,,,,,,,,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),,2025-12-09,Manufacturing
ssisanitary,Samuelson Sales,Other,Unclassified,quote_driven,unclassified,,452.5,,2.0,,2856173,1132.0,83.0,58,0,48,10,0,152,6979.17,3633.75,1060834.36,4.39,3.0,425.19,360.0,67.87,106.99,45.09,274.05,,,,,,,,,,,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),,2025-12-01,
allmakeappliances,All Make Appliance Sales,Retail,Appliances,transactional,llm_classification,medium,574.0,,7.0,0.0,7080078,5694.0,61.0,268,213,0,55,0,6,13441.18,7966.5,80647.1,7.0,5.0,741.0,741.0,501.67,210.33,26.83,2533.0,1.0,574.0,574.0,7.0,7.0,,213.0,0.0,55.0,0.0,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Retail,,2025-11-27,
hyfloequipmentcompany3,Hy-Flo Equipment,Other,Unclassified,crm_pipeline,unclassified,,177.0,,4.0,,4896034,7383.0,24.0,14,0,0,14,0,152,6979.17,3633.75,1060834.36,4.39,3.0,425.19,360.0,67.87,106.99,45.09,274.05,,,,,,,,,,,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Retail,,2025-11-24,Manufacturing
stickersandmore4,"Indiana Forms and Label, Inc",Consumer Goods,Signs/Labels,quote_driven,llm_classification,medium,1320.5,,8.0,,0,1.0,17.0,40,0,40,0,0,70,9459.47,5551.25,662162.6,6.61,5.0,403.92,366.0,552.67,547.01,212.17,3277.57,2.0,9871.6,9871.6,14.5,14.5,1091.0,1311.5,1771.0,0.0,1203.5,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),,2025-11-21,GeneralProductbasedBusiness
battlerattle,"Empire State Distillers, LLC",Food & Beverage,Spirits,transactional,llm_classification,medium,704.25,,9.0,0.0,170625,72.0,34.0,55,55,0,0,0,104,8471.14,5181.5,880999.07,5.68,4.0,458.81,380.0,594.49,252.85,46.83,1631.37,55.0,9685.97,6164.0,6.35,5.0,460.79,319.15,316.82,62.55,1506.22,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),,2025-11-18,OtherNone
americansafetyandfirehouse,American Safety & Fire House,Security Equipment,Safes/Security,crm_pipeline,llm_classification,medium,255.0,,2.0,,1224781,2206.0,55.0,19,0,0,19,0,6,23038.71,14556.5,138232.25,6.5,4.0,652.5,652.5,873.83,762.5,573.0,5323.0,4.0,9421.0,9621.5,3.0,2.5,,122.25,102.75,13.0,0.0,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),,2025-11-12,
missionlaundryequipment3,"Mission Laundry Equipment, Inc",Other,Unclassified,crm_pipeline,unclassified,,264.0,,3.0,,950094,1550.0,35.0,16,0,0,16,0,152,6979.17,3633.75,1060834.36,4.39,3.0,425.19,360.0,67.87,106.99,45.09,274.05,,,,,,,,,,,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),,2025-11-11,
cassinala2,Cassina Los Angeles,Furniture,Furniture,crm_pipeline,llm_classification,medium,305.0,,3.0,,604839,103.0,51.0,78,0,31,47,0,16,13490.53,10213.0,215848.42,5.12,5.0,379.6,312.0,569.12,965.19,261.12,2519.56,12.0,10104.38,7122.5,4.42,4.0,298.0,486.5,850.58,97.17,968.25,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Retail,,2025-11-10,All other miscellaneous store retailers (except tobacco stores)
peakperformancecampers,Peak Performance Campers LLC,Sports & Recreation,Outdoor/Camping,crm_pipeline,llm_classification,medium,74.0,,1.0,,2916150,1133.0,53.0,13,0,0,13,0,6,36253.21,21851.41,217519.28,10.33,9.5,668.0,468.0,885.17,3086.83,273.67,4352.83,1.0,74.0,74.0,1.0,1.0,,0.0,0.0,13.0,0.0,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),,2025-11-04,Travel trailer and camper manufacturing
industrimax2,"Industrimax, Inc.",Other,Unclassified,crm_pipeline,unclassified,,308.0,,4.0,,3842036,351.0,15.0,12,0,0,12,0,152,6979.17,3633.75,1060834.36,4.39,3.0,425.19,360.0,67.87,106.99,45.09,274.05,,,,,,,,,,,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),,2025-10-24,
formersinternational5,"Formers International, Inc.",Manufacturing,Food Packaging Equipment,quote_driven,llm_classification,medium,1947.0,,6.0,,6436296,1618.0,43.0,41,0,33,8,0,26,9205.66,3855.5,239347.07,4.35,3.0,291.12,343.5,503.77,278.77,160.12,2463.77,1.0,1947.0,1947.0,6.0,6.0,,0.0,33.0,8.0,0.0,formers.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),,2025-10-23,Manufacturing
deansbeansorganiccoffee4,Dean's Beans Organic Coffee Company,Food & Beverage,Coffee Roasting,crm_pipeline,manual_verification,high,528.0,,4.0,,3665019,1119.0,30.0,18,0,0,18,0,104,8471.14,5181.5,880999.07,5.68,4.0,458.81,380.0,594.49,252.85,46.83,1631.37,2.0,447.0,447.0,2.5,2.5,,0.0,0.0,32.5,0.0,deansbeans.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),,2025-10-23,accounting_bookkeeping
concealite,Concealite Life Safety Products Inc.,Other,Unclassified,quote_driven,unclassified,,359.0,,3.0,,713400,3548.0,47.0,46,0,46,0,0,152,6979.17,3633.75,1060834.36,4.39,3.0,425.19,360.0,67.87,106.99,45.09,274.05,,,,,,,,,,,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),,2025-10-23,
gsinks,"Graphic Solid Inks, Inc",Other,Unclassified,crm_pipeline,unclassified,,585.0,,3.0,,0,35.0,23.0,22,0,0,22,0,152,6979.17,3633.75,1060834.36,4.39,3.0,425.19,360.0,67.87,106.99,45.09,274.05,,,,,,,,,,,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),,2025-10-22,Printing machinery and equipment manufacturing
norwooddeviceanddiagnostics,NORWOOD DEVICE & DIAGNOSTICS,Construction & Building,Lumber,crm_pipeline,llm_classification,medium,684.0,,6.0,,7560340,4541.0,43.0,153,0,54,99,0,66,12844.24,6291.27,847719.61,6.26,4.0,539.74,416.0,636.97,417.21,265.94,2829.94,5.0,5443.52,2736.0,3.2,2.0,,0.0,56.4,41.4,1793.6,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Retail,,2025-10-20,
g3packaging2,G3 Packaging LLC,Food & Beverage,Spirits,crm_pipeline,llm_classification,medium,396.0,,3.0,,0,24.0,30.0,13,0,0,13,0,104,8471.14,5181.5,880999.07,5.68,4.0,458.81,380.0,594.49,252.85,46.83,1631.37,55.0,9685.97,6164.0,6.35,5.0,460.79,319.15,316.82,62.55,1506.22,,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),,2025-10-16,Manufacturing
