Account Name,Cancellation Reason,Cancellation Reason Other,Tenure_Months,Last Invoice $,Reason_Clean,Category
LRP,No longer using QuickBooks,"LRP’s partnership with Method spanned nearly seven years, reflecting both product alignment and growing business needs. While Method effectively addressed early pain points around data centralization and project management, challenges with reporting, email tracking, and Microsoft integrations became limiting factors over time. Their decision to migrate to NetSuite aligns with their shift toward a more holistic ERP model.

We’re grateful for the collaboration, feedback, and long-term partnership, and we wish LRP continued success in their next chapter.",77.8,2392.0,"LRP’s partnership with Method spanned nearly seven years, reflecting both product alignment and growing business needs. While Method effectively addressed early pain points around data centralization and project management, challenges with reporting, email tracking, and Microsoft integrations became limiting factors over time. Their decision to migrate to NetSuite aligns with their shift toward a more holistic ERP model.

We’re grateful for the collaboration, feedback, and long-term partnership, and we wish LRP continued success in their next chapter.",Competitor Loss
togbatman,,Quickbooks crashed on us so we moved to a new accounting software.,9.7,1735.0,Quickbooks crashed on us so we moved to a new accounting software.,Competitor Loss
avpro,,"Limited features in CRM, no sales reporting, no dashboards, etc.",2.1,1016.0,"Limited features in CRM, no sales reporting, no dashboards, etc.",Feature Gaps
connoilsCo1,Not using their Method Account,It doesn't actually do what we were expecting without having to pay exorbitant fees to get close.,2.5,967.0,It doesn't actually do what we were expecting without having to pay exorbitant fees to get close.,Poor Customization
hrgdist,Using another CRM Product,"it was not you guys, we change to a new Sofware and CRM",11.0,908.0,"it was not you guys, we change to a new Sofware and CRM",Uncategorized
idconsultantssa,,In this moment we need to low operation costs.,15.2,800.0,In this moment we need to low operation costs.,Price/Value
klettsprachen1,Using another CRM Product,No longer needed - changed to a different CRM.,85.1,800.0,No longer needed - changed to a different CRM.,Competitor Loss
SLMUNSONCO,Feature Gap,"Customer wanted to use Method as an email automation / reminder tool.  They had 3 high level requests:1.) Granular Permissions and the ability to control who could see what and when.2.) The ability to assign multiple reps to a customer and control what they see.3.) Lastly, they wanted to schedule emails to be automatically sent at different period of times.Sometimes days after a sale was completed. Sometimes months after a sale was completed.-------------------------------------Wasn't the right fit for our company.",17.0,785.0,"Customer wanted to use Method as an email automation / reminder tool.  They had 3 high level requests:1.) Granular Permissions and the ability to control who could see what and when.2.) The ability to assign multiple reps to a customer and control what they see.3.) Lastly, they wanted to schedule emails to be automatically sent at different period of times.Sometimes days after a sale was completed. Sometimes months after a sale was completed.-------------------------------------Wasn't the right fit for our company.",Uncategorized
windshiptradingcomp,Using another CRM Product,"The have  have outgrown Quickbooks and invested in a custom all in one CRM solution.
They have migrated to Net Suite which encompasses several different platforms and unified  for simplicity.",22.0,746.0,"The have  have outgrown Quickbooks and invested in a custom all in one CRM solution.
They have migrated to Net Suite which encompasses several different platforms and unified  for simplicity.",Integration Issues
finishfirstequine,Other - please specify,"Samuel wrote - The company I was working with just didn't like the product and wanted to go a different direction. They felt the functionality was a bit clunky compared to some of your competitors, and wanted to switch directions and go with salesforce instead.

Phuong asked if Samuel can share what was clunky but he has not replied...",2.5,735.0,"Samuel wrote - The company I was working with just didn't like the product and wanted to go a different direction. They felt the functionality was a bit clunky compared to some of your competitors, and wanted to switch directions and go with salesforce instead.

Phuong asked if Samuel can share what was clunky but he has not replied...",Competitor Loss
tristatewholesaleinc,Not using their Method Account,No longer need for a standalone crm service.,5.7,654.0,No longer need for a standalone crm service.,Uncategorized
progressivewestman,Using another CRM Product,"Need to switch to a mmore powerful crm/erp.

The QuickBooks integration was not as advance as we needed.",2.3,621.0,"Need to switch to a mmore powerful crm/erp.

The QuickBooks integration was not as advance as we needed.",Competitor Loss
protronixcontrols2,Other - please specify,Will be back after sorting out their QB,0.6,610.0,Will be back after sorting out their QB,Integration Issues
PSCOnline,Other - please specify,Migrated to new 2016 due to QBE issues,9.0,600.0,Migrated to new 2016 due to QBE issues,Integration Issues
kustomkartpros,Other - please specify,Should have pre set up reports so admins have access to view all outstanding activities.  It should not be something to get charge by the hour to produce these type of format reports when they’re very generic and should be easy enough to offer as part of a package,0.6,586.0,Should have pre set up reports so admins have access to view all outstanding activities.  It should not be something to get charge by the hour to produce these type of format reports when they’re very generic and should be easy enough to offer as part of a package,Uncategorized
promedCo1,No longer using QuickBooks,You did not let us down AT ALL!!! Our company built a customer ERP system and we have migrated over to our new system.,38.8,579.93,You did not let us down AT ALL!!! Our company built a customer ERP system and we have migrated over to our new system.,UX/UI Issues
PSCWeb,,"Not the fit we needed, attempting to get refunded for services not used.",2.4,560.0,"Not the fit we needed, attempting to get refunded for services not used.",Uncategorized
sniderit,"Failure to adopt, train, and engage CRM users","I’m sorry that this didn’t work out at this time for us.  Please know that it was nothing that you did wrong.

You were easy to work with and you did everything that we asked.

It’s just not a good fit right now.  We may relook at Method again, down the road.

Wishing you the best and thank you again",13.3,553.0,"I’m sorry that this didn’t work out at this time for us.  Please know that it was nothing that you did wrong.

You were easy to work with and you did everything that we asked.

It’s just not a good fit right now.  We may relook at Method again, down the road.

Wishing you the best and thank you again",Uncategorized
thepowerstore,Using another CRM Product,"You didn't.
We are updating our system to an all encompassing ERP/CRM system.",25.0,539.0,"You didn't.
We are updating our system to an all encompassing ERP/CRM system.",Uncategorized
positivetech,Other - please specify,Switched to autotask for the Datto RMM integration,24.4,524.0,Switched to autotask for the Datto RMM integration,Competitor Loss
daystardistributing,Tech Issue - Applications & Sync,"Customer said: We do not want to continue with Method CRM because there is problems with the sync engine installation on our server.

Our help: We helped them move sync engine 3 times because they were confused on where to install as their users were changing mind. After a final successful installation on their server, because of some security permissions, the sync could not run. We offered help many times but the customer was not willing to move forward with Method CRM at all. I have added more notes in the account activities",1.0,496.0,"Customer said: We do not want to continue with Method CRM because there is problems with the sync engine installation on our server.

Our help: We helped them move sync engine 3 times because they were confused on where to install as their users were changing mind. After a final successful installation on their server, because of some security permissions, the sync could not run. We offered help many times but the customer was not willing to move forward with Method CRM at all. I have added more notes in the account activities",Integration Issues
homeanddoor2,Using another CRM Product,"Thryv likely secured this deal by offering a more immediately digestible, bundled solution that aligned closely with the customers short-term priorities: ease of use, fast setup, and perceived value.
 Karen and the Home and Door team were actively exploring platforms to streamline operations. While they initially engaged with Method and attended a demo, follow-up interactions generating strong engagement & usage.
Thryv’s all-in-one pitch — combining CRM, scheduling, payments, and marketing under one fixed monthly price won them over.
This customer needed DEP to be successful; however, we opposed to the adoption of it.",1.8,493.0,"Thryv likely secured this deal by offering a more immediately digestible, bundled solution that aligned closely with the customers short-term priorities: ease of use, fast setup, and perceived value.
 Karen and the Home and Door team were actively exploring platforms to streamline operations. While they initially engaged with Method and attended a demo, follow-up interactions generating strong engagement & usage.
Thryv’s all-in-one pitch — combining CRM, scheduling, payments, and marketing under one fixed monthly price won them over.
This customer needed DEP to be successful; however, we opposed to the adoption of it.",Price/Value
utilitysa,Difficult UI,Interface with quickbooks was quirky and needed help to often.,12.3,490.0,Interface with quickbooks was quirky and needed help to often.,Integration Issues
kolbipipemarkers,Using another CRM Product,We were able to get a great deal with hubspot to handle both our CRM and our marketing and link sales in our shopify website to our CRM,25.1,483.0,We were able to get a great deal with hubspot to handle both our CRM and our marketing and link sales in our shopify website to our CRM,Uncategorized
keyport,No longer using QuickBooks,Frank: We moved to a new accounting package as we outgrew QuickBooks and moved our CRM to hubspot. We stopped using QuickBooks a while ago so this change was inevitable. Method is no longer needed since QuickBooks is no longer used.,109.4,480.0,Frank: We moved to a new accounting package as we outgrew QuickBooks and moved our CRM to hubspot. We stopped using QuickBooks a while ago so this change was inevitable. Method is no longer needed since QuickBooks is no longer used.,Competitor Loss
WisdomInNumbers,Unhappy with mobile/performance/speed,"Good morning David,
 
Thank you for your information regarding MethodCRM.
 
My Admin wanted to cancel the MethodCRM for 2 reasons:
1. We have not utilizing the CRM for over a year costing a company over $7200.00 + and 
2  MethodCRM take too long to load and none of us know how to use it effectively to communicating with our Members as we wish.
 
Please let me know the balance of our bills and we will take care appropriately.
 
I am so sorry it doesn't workout for us as we wanted to...
 
Regards,
Nghia",19.4,480.0,"Good morning David,
 
Thank you for your information regarding MethodCRM.
 
My Admin wanted to cancel the MethodCRM for 2 reasons:
1. We have not utilizing the CRM for over a year costing a company over $7200.00 + and 
2  MethodCRM take too long to load and none of us know how to use it effectively to communicating with our Members as we wish.
 
Please let me know the balance of our bills and we will take care appropriately.
 
I am so sorry it doesn't workout for us as we wanted to...
 
Regards,
Nghia",Price/Value
noodlesoup,Using another CRM Product,"Our company does not have a dedicated sales force so while aspects of the program were= great for documentation we ended up not using it. It could not tie into our website to measure metric tracking so we ended up using a third party  Overall it was not useful in handling, orders nor basic ERP management. It also needed to be much more user friendly for the owner of the company who is not tech savvy. ",13.7,474.0,"Our company does not have a dedicated sales force so while aspects of the program were= great for documentation we ended up not using it. It could not tie into our website to measure metric tracking so we ended up using a third party  Overall it was not useful in handling, orders nor basic ERP management. It also needed to be much more user friendly for the owner of the company who is not tech savvy.",Uncategorized
crbeautyCo1,Not using their Method Account,"Method has a great integration with QuickBooks, but it is to clunky and labor intensive for field representatives. We are a hair color distribution company, and the reps that entered salons every day found the data entry daunting. I think Method is better suited for a telemarketing sales operation ",5.7,469.0,"Method has a great integration with QuickBooks, but it is to clunky and labor intensive for field representatives. We are a hair color distribution company, and the reps that entered salons every day found the data entry daunting. I think Method is better suited for a telemarketing sales operation",Too Complex/Clunky
plasticinnovations,Not using their Method Account,"Harsh,

 

Thank you so much for the clarification and I apologize for the confusion.  At this time, we do need to cancel our subscription.  We will continue using our current system until we can figure out the issues with integration between our current order system and QuickBooks.  We do still plan to re-visit Method but want to make sure we do our due diligence before diving in head first again.

Kind Regards,

 

Brandon Sams

Vice President of Sales",3.4,459.0,"Harsh,

 

Thank you so much for the clarification and I apologize for the confusion.  At this time, we do need to cancel our subscription.  We will continue using our current system until we can figure out the issues with integration between our current order system and QuickBooks.  We do still plan to re-visit Method but want to make sure we do our due diligence before diving in head first again.

Kind Regards,

 

Brandon Sams

Vice President of Sales",Integration Issues
ergroupllc,Integration Gap,We found a CRM that directly aligns with Foundation Software.,17.8,455.0,We found a CRM that directly aligns with Foundation Software.,Uncategorized
conradcabinets,Other - please specify,Not using it enough  to justify the cost. ,6.5,452.0,Not using it enough  to justify the cost.,Price/Value
redithotics,,Customers sales reps took orders using the sales order screen. Typical orders consisted of 10 or more items and the screen design was too cumbersome. He needed editable grids. ,3.8,450.0,Customers sales reps took orders using the sales order screen. Typical orders consisted of 10 or more items and the screen design was too cumbersome. He needed editable grids.,UX/UI Issues
rrds,Feature Gap,"We are moving to a platform that integrates proposal management software and federal bid sourcing.

Thank you for everything!",79.8,444.0,"We are moving to a platform that integrates proposal management software and federal bid sourcing.

Thank you for everything!",Uncategorized
maguirecanada,Difficult to Customize,could not customize the Work Order to match our hardcopy forms. Our contact was not responsive and unable to accomplish this customization.,14.3,441.0,could not customize the Work Order to match our hardcopy forms. Our contact was not responsive and unable to accomplish this customization.,Feature Gaps
