Account Name,Cancellation Reason,Cancellation Reason Other,Tenure_Months,Last Invoice $,Employees,Customers,Sign Up Date,Cancellation Date
LRP,No longer using QuickBooks,"LRP’s partnership with Method spanned nearly seven years, reflecting both product alignment and growing business needs. While Method effectively addressed early pain points around data centralization and project management, challenges with reporting, email tracking, and Microsoft integrations became limiting factors over time. Their decision to migrate to NetSuite aligns with their shift toward a more holistic ERP model.

We’re grateful for the collaboration, feedback, and long-term partnership, and we wish LRP continued success in their next chapter.",77.8,2392.0,19.0,28023.0,2018-12-07,2025-06-01
togbatman,,Quickbooks crashed on us so we moved to a new accounting software.,9.7,1735.0,1.0,5250.0,2016-08-10,2017-05-31
accurateforklift2,Other - please specify,Original is: accurateforklift2,0.0,1382.0,0.0,0.0,2023-07-18,2023-07-19
accurateforklifttest,Other - please specify,Original is: accurateforklift3. Helped transfer all the users,1.0,1358.0,24.0,4598.0,2023-06-27,2023-07-26
instapro,Using another CRM Product,moved to salesforce,76.6,1040.0,8.0,5008.0,2013-09-11,2020-01-31
avpro,,"Limited features in CRM, no sales reporting, no dashboards, etc.",2.1,1016.0,22.0,42003.0,2018-01-09,2018-03-15
connoilsCo1,Not using their Method Account,It doesn't actually do what we were expecting without having to pay exorbitant fees to get close.,2.5,967.0,28.0,2985.0,2020-01-07,2020-03-23
icrcoinc3,Non-payment,,1.4,935.0,17.0,2928.0,2022-12-04,2023-01-15
edgesolutions1,,No longer needed,10.9,925.0,29.0,4739.0,2017-01-04,2017-12-01
hrgdist,Using another CRM Product,"it was not you guys, we change to a new Sofware and CRM",11.0,908.0,0.0,891.0,2022-07-22,2023-06-21
SSVllc,Non-payment,,31.3,815.0,1.0,9502.0,2019-10-31,2022-06-09
makejllc,Other - please specify,,0.2,803.0,3.0,130.0,2025-05-15,2025-05-20
Headwaters,Non-payment,,7.0,801.0,21.0,498.0,2019-06-14,2020-01-14
idconsultantssa,,In this moment we need to low operation costs.,15.2,800.0,66.0,12772.0,2015-03-25,2016-06-30
klettsprachen1,Using another CRM Product,No longer needed - changed to a different CRM.,85.1,800.0,22.0,49768.0,2017-03-29,2024-05-01
SLMUNSONCO,Feature Gap,"Customer wanted to use Method as an email automation / reminder tool.  They had 3 high level requests:1.) Granular Permissions and the ability to control who could see what and when.2.) The ability to assign multiple reps to a customer and control what they see.3.) Lastly, they wanted to schedule emails to be automatically sent at different period of times.Sometimes days after a sale was completed. Sometimes months after a sale was completed.-------------------------------------Wasn't the right fit for our company.",17.0,785.0,0.0,2664.0,2019-11-04,2021-04-05
wellsagsupply,Not using their Method Account,not using,32.0,783.0,3.0,2385.0,2019-10-29,2022-06-30
windshiptradingcomp,Using another CRM Product,"The have  have outgrown Quickbooks and invested in a custom all in one CRM solution.
They have migrated to Net Suite which encompasses several different platforms and unified  for simplicity.",22.0,746.0,53.0,8506.0,2018-06-08,2020-04-09
finishfirstequine,Other - please specify,"Samuel wrote - The company I was working with just didn't like the product and wanted to go a different direction. They felt the functionality was a bit clunky compared to some of your competitors, and wanted to switch directions and go with salesforce instead.

Phuong asked if Samuel can share what was clunky but he has not replied...",2.5,735.0,1.0,748.0,2019-07-16,2019-09-30
tristatewholesaleinc,Not using their Method Account,No longer need for a standalone crm service.,5.7,654.0,30.0,1033.0,2021-05-25,2021-11-13
neobroadbandtv,Due to economic reasons,budget cut,45.7,651.0,78.0,681.0,2020-09-22,2024-07-15
progressivewestman,Using another CRM Product,"Need to switch to a mmore powerful crm/erp.

The QuickBooks integration was not as advance as we needed.",2.3,621.0,35.0,4966.0,2023-11-22,2024-01-31
sunbeltsign22,Non-payment,,1.4,610.0,27.0,1687.0,2025-06-19,2025-08-01
protronixcontrols2,Other - please specify,Will be back after sorting out their QB,0.6,610.0,15.0,565.0,2025-10-17,2025-11-03
PSCOnline,Other - please specify,Migrated to new 2016 due to QBE issues,9.0,600.0,2.0,11039.0,2015-06-22,2016-03-22
greenington6,Other - please specify,Theyll be back,1.1,595.0,13.0,267.0,2023-06-28,2023-08-02
websterassociates,Using another CRM Product,We moved to a diffrent service,58.9,588.0,8.0,2158.0,2020-11-03,2025-09-30
kustomkartpros,Other - please specify,Should have pre set up reports so admins have access to view all outstanding activities.  It should not be something to get charge by the hour to produce these type of format reports when they’re very generic and should be easy enough to offer as part of a package,0.6,586.0,26.0,836.0,2022-04-23,2022-05-11
promedCo1,No longer using QuickBooks,You did not let us down AT ALL!!! Our company built a customer ERP system and we have migrated over to our new system.,38.8,579.93,24.0,63648.0,2020-08-26,2023-11-21
PSCWeb,,"Not the fit we needed, attempting to get refunded for services not used.",2.4,560.0,2.0,14348.0,2016-01-22,2016-04-04
sniderit,"Failure to adopt, train, and engage CRM users","I’m sorry that this didn’t work out at this time for us.  Please know that it was nothing that you did wrong.

You were easy to work with and you did everything that we asked.

It’s just not a good fit right now.  We may relook at Method again, down the road.

Wishing you the best and thank you again",13.3,553.0,17.0,1101.0,2022-06-16,2023-07-25
justcbdstore,Not using their Method Account,XXX,32.4,552.0,1.0,11036.0,2021-11-05,2024-07-17
eglimousineservicesdnbhd,Violation of Terms & Conditions,"Duplicate Account that was flagged for potential fraud. 

Cancelling due to non-payment",0.5,551.0,0.0,9.0,2023-06-25,2023-07-11
sheetmetalwerks,Other - please specify,No response to hold ,1.6,539.0,3.0,155.0,2021-02-03,2021-03-24
thepowerstore,Using another CRM Product,"You didn't.
We are updating our system to an all encompassing ERP/CRM system.",25.0,539.0,18.0,6001.0,2020-09-02,2022-10-03
pwi,Non-payment,,1.9,539.0,1.0,518.0,2022-07-25,2022-09-22
spaelectricsinc,Not using their Method Account,'---,13.0,531.0,0.0,8508.0,2022-07-04,2023-08-04
positivetech,Other - please specify,Switched to autotask for the Datto RMM integration,24.4,524.0,12.0,3050.0,2017-10-18,2019-11-01
kitchenstorelightstyle73llc,Non-payment,,1.4,510.0,3.0,273.0,2024-03-30,2024-05-11
dasaudio,Using another CRM Product,We moved to Salesforce,71.5,504.0,40.0,1133.0,2017-05-17,2023-05-02
ddmmaterials,"Failure to adopt, train, and engage CRM users",Not utilized,31.9,502.0,33.0,2550.0,2021-01-25,2023-09-24
lostjane,Sold Business / Closing Company,we shut compoany down,7.1,502.0,2.0,147.0,2024-05-14,2024-12-16
daystardistributing,Tech Issue - Applications & Sync,"Customer said: We do not want to continue with Method CRM because there is problems with the sync engine installation on our server.

Our help: We helped them move sync engine 3 times because they were confused on where to install as their users were changing mind. After a final successful installation on their server, because of some security permissions, the sync could not run. We offered help many times but the customer was not willing to move forward with Method CRM at all. I have added more notes in the account activities",1.0,496.0,6.0,1572.0,2023-06-06,2023-07-06
homeanddoor2,Using another CRM Product,"Thryv likely secured this deal by offering a more immediately digestible, bundled solution that aligned closely with the customers short-term priorities: ease of use, fast setup, and perceived value.
 Karen and the Home and Door team were actively exploring platforms to streamline operations. While they initially engaged with Method and attended a demo, follow-up interactions generating strong engagement & usage.
Thryv’s all-in-one pitch — combining CRM, scheduling, payments, and marketing under one fixed monthly price won them over.
This customer needed DEP to be successful; however, we opposed to the adoption of it.",1.8,493.0,9.0,22434.0,2025-01-29,2025-03-26
utilitysa,Difficult UI,Interface with quickbooks was quirky and needed help to often.,12.3,490.0,0.0,559.0,2023-10-27,2024-11-05
danddfiltration,Non-payment,,1.4,490.0,29.0,2169.0,2024-03-20,2024-05-01
stickerandmore,Other - please specify,"Duplicate account -stickersandmore ( Deleted as per case-65607, confirmed with Sofya). 

We ve since migrated customization and moved them to live account.",2.6,488.0,3.0,147.0,2025-09-29,2025-12-17
bestlaminate,Non-payment,,2.5,486.0,39.0,44727.0,2020-12-22,2021-03-09
Vfcollc,Integration Gap,inventory allocations. ,1.7,484.0,11.0,152.0,2020-08-12,2020-10-02
kolbipipemarkers,Using another CRM Product,We were able to get a great deal with hubspot to handle both our CRM and our marketing and link sales in our shopify website to our CRM,25.1,483.0,15.0,12006.0,2019-08-06,2021-09-07
keyport,No longer using QuickBooks,Frank: We moved to a new accounting package as we outgrew QuickBooks and moved our CRM to hubspot. We stopped using QuickBooks a while ago so this change was inevitable. Method is no longer needed since QuickBooks is no longer used.,109.4,480.0,0.0,1818.0,2016-04-28,2025-06-11
hoffmanngroupusa,Non-payment,,15.0,480.0,1.0,1364.0,2015-12-14,2017-03-14
E2E,Using another CRM Product,,28.4,480.0,3.0,1295.0,2013-05-16,2015-09-29
lightingsupplyguy,Other - please specify,No longer using Method. ,17.0,480.0,16.0,1968.0,2017-08-08,2019-01-08
