Account Name,Cancellation Reason,Cancellation Reason Other,Tenure_Months,Last Invoice $
LRP,No longer using QuickBooks,"LRP’s partnership with Method spanned nearly seven years, reflecting both product alignment and growing business needs. While Method effectively addressed early pain points around data centralization and project management, challenges with reporting, email tracking, and Microsoft integrations became limiting factors over time. Their decision to migrate to NetSuite aligns with their shift toward a more holistic ERP model.

We’re grateful for the collaboration, feedback, and long-term partnership, and we wish LRP continued success in their next chapter.",77.8,2392.0
togbatman,,Quickbooks crashed on us so we moved to a new accounting software.,9.7,1735.0
accurateforklift2,Other - please specify,Original is: accurateforklift2,0.0,1382.0
accurateforklifttest,Other - please specify,Original is: accurateforklift3. Helped transfer all the users,1.0,1358.0
instapro,Using another CRM Product,moved to salesforce,76.6,1040.0
avpro,,"Limited features in CRM, no sales reporting, no dashboards, etc.",2.1,1016.0
connoilsCo1,Not using their Method Account,It doesn't actually do what we were expecting without having to pay exorbitant fees to get close.,2.5,967.0
edgesolutions1,,No longer needed,10.9,925.0
hrgdist,Using another CRM Product,"it was not you guys, we change to a new Sofware and CRM",11.0,908.0
idconsultantssa,,In this moment we need to low operation costs.,15.2,800.0
klettsprachen1,Using another CRM Product,No longer needed - changed to a different CRM.,85.1,800.0
SLMUNSONCO,Feature Gap,"Customer wanted to use Method as an email automation / reminder tool.  They had 3 high level requests:1.) Granular Permissions and the ability to control who could see what and when.2.) The ability to assign multiple reps to a customer and control what they see.3.) Lastly, they wanted to schedule emails to be automatically sent at different period of times.Sometimes days after a sale was completed. Sometimes months after a sale was completed.-------------------------------------Wasn't the right fit for our company.",17.0,785.0
wellsagsupply,Not using their Method Account,not using,32.0,783.0
windshiptradingcomp,Using another CRM Product,"The have  have outgrown Quickbooks and invested in a custom all in one CRM solution.
They have migrated to Net Suite which encompasses several different platforms and unified  for simplicity.",22.0,746.0
finishfirstequine,Other - please specify,"Samuel wrote - The company I was working with just didn't like the product and wanted to go a different direction. They felt the functionality was a bit clunky compared to some of your competitors, and wanted to switch directions and go with salesforce instead.

Phuong asked if Samuel can share what was clunky but he has not replied...",2.5,735.0
tristatewholesaleinc,Not using their Method Account,No longer need for a standalone crm service.,5.7,654.0
neobroadbandtv,Due to economic reasons,budget cut,45.7,651.0
progressivewestman,Using another CRM Product,"Need to switch to a mmore powerful crm/erp.

The QuickBooks integration was not as advance as we needed.",2.3,621.0
protronixcontrols2,Other - please specify,Will be back after sorting out their QB,0.6,610.0
PSCOnline,Other - please specify,Migrated to new 2016 due to QBE issues,9.0,600.0
greenington6,Other - please specify,Theyll be back,1.1,595.0
websterassociates,Using another CRM Product,We moved to a diffrent service,58.9,588.0
kustomkartpros,Other - please specify,Should have pre set up reports so admins have access to view all outstanding activities.  It should not be something to get charge by the hour to produce these type of format reports when they’re very generic and should be easy enough to offer as part of a package,0.6,586.0
promedCo1,No longer using QuickBooks,You did not let us down AT ALL!!! Our company built a customer ERP system and we have migrated over to our new system.,38.8,579.93
PSCWeb,,"Not the fit we needed, attempting to get refunded for services not used.",2.4,560.0
sniderit,"Failure to adopt, train, and engage CRM users","I’m sorry that this didn’t work out at this time for us.  Please know that it was nothing that you did wrong.

You were easy to work with and you did everything that we asked.

It’s just not a good fit right now.  We may relook at Method again, down the road.

Wishing you the best and thank you again",13.3,553.0
justcbdstore,Not using their Method Account,XXX,32.4,552.0
eglimousineservicesdnbhd,Violation of Terms & Conditions,"Duplicate Account that was flagged for potential fraud. 

Cancelling due to non-payment",0.5,551.0
sheetmetalwerks,Other - please specify,No response to hold ,1.6,539.0
thepowerstore,Using another CRM Product,"You didn't.
We are updating our system to an all encompassing ERP/CRM system.",25.0,539.0
spaelectricsinc,Not using their Method Account,'---,13.0,531.0
positivetech,Other - please specify,Switched to autotask for the Datto RMM integration,24.4,524.0
dasaudio,Using another CRM Product,We moved to Salesforce,71.5,504.0
ddmmaterials,"Failure to adopt, train, and engage CRM users",Not utilized,31.9,502.0
lostjane,Sold Business / Closing Company,we shut compoany down,7.1,502.0
daystardistributing,Tech Issue - Applications & Sync,"Customer said: We do not want to continue with Method CRM because there is problems with the sync engine installation on our server.

Our help: We helped them move sync engine 3 times because they were confused on where to install as their users were changing mind. After a final successful installation on their server, because of some security permissions, the sync could not run. We offered help many times but the customer was not willing to move forward with Method CRM at all. I have added more notes in the account activities",1.0,496.0
homeanddoor2,Using another CRM Product,"Thryv likely secured this deal by offering a more immediately digestible, bundled solution that aligned closely with the customers short-term priorities: ease of use, fast setup, and perceived value.
 Karen and the Home and Door team were actively exploring platforms to streamline operations. While they initially engaged with Method and attended a demo, follow-up interactions generating strong engagement & usage.
Thryv’s all-in-one pitch — combining CRM, scheduling, payments, and marketing under one fixed monthly price won them over.
This customer needed DEP to be successful; however, we opposed to the adoption of it.",1.8,493.0
utilitysa,Difficult UI,Interface with quickbooks was quirky and needed help to often.,12.3,490.0
stickerandmore,Other - please specify,"Duplicate account -stickersandmore ( Deleted as per case-65607, confirmed with Sofya). 

We ve since migrated customization and moved them to live account.",2.6,488.0
Vfcollc,Integration Gap,inventory allocations. ,1.7,484.0
kolbipipemarkers,Using another CRM Product,We were able to get a great deal with hubspot to handle both our CRM and our marketing and link sales in our shopify website to our CRM,25.1,483.0
lightingsupplyguy,Other - please specify,No longer using Method. ,17.0,480.0
keyport,No longer using QuickBooks,Frank: We moved to a new accounting package as we outgrew QuickBooks and moved our CRM to hubspot. We stopped using QuickBooks a while ago so this change was inevitable. Method is no longer needed since QuickBooks is no longer used.,109.4,480.0
WisdomInNumbers,Unhappy with mobile/performance/speed,"Good morning David,
 
Thank you for your information regarding MethodCRM.
 
My Admin wanted to cancel the MethodCRM for 2 reasons:
1. We have not utilizing the CRM for over a year costing a company over $7200.00 + and 
2  MethodCRM take too long to load and none of us know how to use it effectively to communicating with our Members as we wish.
 
Please let me know the balance of our bills and we will take care appropriately.
 
I am so sorry it doesn't workout for us as we wanted to...
 
Regards,
Nghia",19.4,480.0
noodlesoup,Using another CRM Product,"Our company does not have a dedicated sales force so while aspects of the program were= great for documentation we ended up not using it. It could not tie into our website to measure metric tracking so we ended up using a third party  Overall it was not useful in handling, orders nor basic ERP management. It also needed to be much more user friendly for the owner of the company who is not tech savvy. ",13.7,474.0
crbeautyCo1,Not using their Method Account,"Method has a great integration with QuickBooks, but it is to clunky and labor intensive for field representatives. We are a hair color distribution company, and the reps that entered salons every day found the data entry daunting. I think Method is better suited for a telemarketing sales operation ",5.7,469.0
plasticinnovations,Not using their Method Account,"Harsh,

 

Thank you so much for the clarification and I apologize for the confusion.  At this time, we do need to cancel our subscription.  We will continue using our current system until we can figure out the issues with integration between our current order system and QuickBooks.  We do still plan to re-visit Method but want to make sure we do our due diligence before diving in head first again.

Kind Regards,

 

Brandon Sams

Vice President of Sales",3.4,459.0
ergroupllc,Integration Gap,We found a CRM that directly aligns with Foundation Software.,17.8,455.0
conradcabinets,Other - please specify,Not using it enough  to justify the cost. ,6.5,452.0
redithotics,,Customers sales reps took orders using the sales order screen. Typical orders consisted of 10 or more items and the screen design was too cumbersome. He needed editable grids. ,3.8,450.0
stacmaterialhandlinginc,Tech Issue - Applications & Sync,Too Glitchy and unreliable. ,133.8,450.0
finum,Using another CRM Product,we have moved,101.0,449.0
rrds,Feature Gap,"We are moving to a platform that integrates proposal management software and federal bid sourcing.

Thank you for everything!",79.8,444.0
mountjoyaquatics,Due to economic reasons,down sizing sales team,23.0,442.0
maguirecanada,Difficult to Customize,could not customize the Work Order to match our hardcopy forms. Our contact was not responsive and unable to accomplish this customization.,14.3,441.0
artisanhardware1,Other - please specify,Sold Company ,11.3,441.0
braxcompany2,Other - please specify,Not in our budget right now.,0.6,441.0
sprngerpumps,Not using their Method Account,"From Rick: We love Method and it’s possibilities but we’ve never really even started to use it, and have so many other must-do items on our plate that it doesn’t make sense to continue at this point.From Paulette: This account was a disaster waiting to happen.  There are two other Consulting firms involved on the QB and IT/Web side and unfortunately all my efforts to have them focus on completing the Method w/API portion were unsuccessful.",13.4,441.0
roni,,We are looking for a system that's easier for our team to use.,25.7,440.0
oximedicalnew,Using another CRM Product,We've upgraded to NetSuite.,17.6,440.0
goldentrends,Using another CRM Product,My Company has decided to move to another CRM that better fits our needs.,20.4,440.0
deltafas,Using another CRM Product,Moved to a new a system.,13.6,440.0
RPSINC,,We have switched to a whole new ERP system with NetSuite and no longer need this service.  You helped us grow out of it! Thank you!,30.9,440.0
intecconinc,Using another CRM Product,Found another software. Please process refund for last payment processed.,69.1,439.0
vegplusbloom,Duplicate Account,Transferred prepay from Vegplusbloom to hydroponicresearchinc. Cancelling Vegplusbloom account,23.4,434.0
centralfloridasteelbuildings,Tech Issue - Applications & Sync,Quickbooks Integration wasn't as streamlined as hoped for. Too many hiccups there. To much customization needed to get everyone on same page...,1.9,430.0
pacwestdistributors1,Other - please specify,Non-Payment,15.0,430.0
bedrockroadsllc,Using another CRM Product,This was a breakdown between us and your supplier.  We've had the subscription for 11 months and still can't use it to quote.  We are closer to customization in Buildertrend after one month.  Not contest.  We can't continue to pay for something that isn't being tailored to our needs.,11.2,428.0
priopel1993inc2,Difficult Workflows / Workflow Challenges,"Pascal asked not to renew his subscription, his team is used to working on paper but he wanted them to try Method. Pascal and I encouraged his team to adopt the software to make their work easier, but they refused to use it, they said it was not as practical as paper.",11.3,425.0
mobilityplus3,Other - please specify,"Conversion Exception Reason: 
Syncd Wrong File / Test File
Other Account:
methodmobility",0.6,425.0
hccigarsdaytonallc5,Other - please specify,"Churn Exception Reason: 
Duplicate Account
Other Account:
hccigarsdaytonallc2",1.2,425.0
valencecorp,Using another CRM Product,"we are moving to GoHighLevel since we are using it for other stuff, to stream line.",1.8,425.0
PSDPR,Not using their Method Account,"At the moment, our employees aren't using it.",3.1,419.0
mojosportswearco,,Too much money for not enough use.,4.1,416.0
vprbrands1,Other - please specify,"Ayushi,

Thank you for your support over the past few years.
But at this time we do not have a need for further use of your system.
If in the future we add more people into our company, we will reach back out to you and start back up.
But as of December 12th 2019 we will no longer need your services.

Thank you very much for your help and services.",30.0,416.0
pharmacylite,Tech Issue - Applications & Sync,"We are changing software and no longer will use Method.  However, you should know, it never worked well at all.  it was always very unstable and we had to reconnect with QuickBooks many times per day.",43.4,416.0
hathorncorporation3,Other - please specify,"
We’ve decided not to proceed with Method, but instead migrate to MS Dynamics with a temporary integrator for a number of reasons. 

 

We intend to move away from QuickBooks accounting in about a year to cloud based accounting, so moving to Method will require yet another CRM migration at that time.  It’s really not worth doing that.  Secondly, the permissions Method offers won’t allow our workforce to be adequately isolated to just their function without paying for a full membership for view only.  Finally, the MS Dynamics platform is significantly cheaper than using Method and QuickBooks together while being fully integrated with our MS365 accounts and systems.  MS Dynamics will give us the integrated platform and analytics we need as a growing business.

 

We appreciate you taking the time to show us your platform but unfortunately Method isn’t going to work for us.",0.4,414.0
advancedhurricanetechnologyinc,"Failure to adopt, train, and engage CRM users","I cannot get my team to properly use the software. I think it can work very well, but requires a dedication that I cannot currently give to it.",2.8,412.0
mitchellelectronics,Tech Issue - Applications & Sync,QB Sync program usually gave us problems. I don't think it was your fault. Intuit simply never designed it to work this way and we understand.,68.9,412.0
sipcoimak,Not using their Method Account,Not being utilized,8.0,408.0
jethot,,Just didn't work for managing deals.,2.9,402.0
geiworks,Other - please specify,Need to cut costs.,45.0,400.0
sanitasskincare,Other - please specify,Dupe account - sanitasSkinCareCo1,62.0,400.0
starsystemsinternational,,Too difficult to customize and basic package does not provide enough generally useable features.  ,9.6,400.0
agilityexports,Using another CRM Product,new system,16.8,397.0
Sealmasterindianapolis,Using another CRM Product,Moved to another solution Netsuite,23.8,395.0
firesafetysupply,Tech Issue - Applications & Sync,I met again with our sales team and unanimously agree Method is not a good fit. There are too many issues to overcome.-----------------Method was slowing their QB file on RN. They had to upgrade all 13 users on RN to deluxe where they were paying ~$50/user/month to RN. His sales team was not happy because when they went to QB everything was very sticky for them. I instantly created a case but they had made a decision already to not continue with Method. (Notes added to activities under the account along with email conversations),5.1,392.0
xperienceag,Other - please specify,Switching to a different provider.,60.9,392.0
skinhealthcanadaCo1,Not using their Method Account,We decided to cancel the subscription.,13.0,392.0
acc84481,Difficult to Customize,"The system didn't work for us out of the box. We believe in the principles of the system but don't have time or the patience to start working on customization for it to do what we needed. Also, after basic functions didn't work, we lost confidence in starting to customize. ",1.5,392.0
ironhausinc,Not using their Method Account,did not work for our company,6.4,391.0
transnatradinggroupusallcfl,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
transnatradinggroupsl",1.2,390.0
tmjs,Other - please specify,"We switched to a more robust CRM, nothing that you did wrong.",4.5,390.0
beyondthegrind,Sold Business / Closing Company,We have sold the company so no longer require method as the new owners are using netsuite.  Thank you for all your help.,58.9,383.0
aft2,Using another CRM Product,We have transistion to Netsuite and will no longerneed method services,10.2,383.0
alexochakovskycpa,Service / Support / Help Center,not user friendly! Bad customer service with charding and not even refunding for the account that supposed to be closed!,15.1,383.0
