Account Name,Vertical,Industry (Research),Website,Annual Sales
conequippartsandequipmentllc,Wholesale and distribution services (MWD),Construction Equipment & Heavy Machinery Parts Distribution,,0
php,Manufacturing (MWD),Material Handling Equipment Manufacturing & Distribution,,"4,362,285"
ciamedical,Wholesale and distribution services (MWD),Medical Supplies Wholesale Distribution,,"15,840,397"
niagaramachine1,Wholesale and distribution services (MWD),Construction Equipment & Concrete Surface Preparation Distribution,,0
aquamatic,Manufacturing (MWD),Pool Safety Equipment Manufacturing,,"11,647,127"
FlowTurn,Manufacturing (MWD),Powered Belt Curves & Spiral Conveyors Manufacturing,flow-turn.com,"41,731,301"
jit,Manufacturing (MWD),"Textiles, Labels & Printing Products Distribution",,0
Eastwestemb2,Retail,Custom Embroidery & Apparel Services,gmail.com,0
windowmakeover1,Manufacturing (MWD),Window Treatments & Coverings,,0
ezloinnovation,Wholesale and distribution services (MWD),Smart Home Automation & IoT Platform,,0
globalgatecontrols,Retail,Access Control Equipment Distribution,,0
hmtca,Manufacturing (MWD),CNC Tube & Pipe Bending Equipment Manufacturing,,0
westernsquare1,Manufacturing (MWD),Agricultural & Industrial Metal Products Manufacturing,,0
lumax,Wholesale and distribution services (MWD),LED Lighting Manufacturing - Commercial/Industrial Retrofits,,0
westernpackaging,Wholesale and distribution services (MWD),Custom Flexible Packaging Manufacturing,,0
parlights,Wholesale and distribution services (MWD),Theatrical Lighting & Rigging Solutions,,"6,034,874"
SunshineUSALLC1,Manufacturing (MWD),MULTIPLE COMPANIES - Requires Clarification,,0
cdsanalytical,Manufacturing (MWD),Analytical Laboratory Instrumentation Manufacturing,,"5,366,037"
datamemorysales,Wholesale and distribution services (MWD),Computer Memory & Storage Distribution,,0
safaribeltingsystemsinc,Manufacturing (MWD),Plastic Modular Conveyor Belting Manufacturing,safaribelting.com,"19,048,115"
keastenterprises,Retail,"Agricultural, Construction & Forestry Equipment Distribution",,0
LPIShownetwork,Wholesale and distribution services (MWD),PENDING - Company Not Clearly Identified,,"4,054,373"
vpnz,Manufacturing (MWD),"Industrial Vacuum Pumps, Compressors & Blowers",,"1,471,923"
sunshinellc2023,Manufacturing (MWD),Hot Tub & Swim Spa Manufacturing/Retail,lpiinc.com,0
HundeggerNA,Manufacturing (MWD),CNC Timber Construction Machinery Manufacturing,,0
ctiusa,Manufacturing (MWD),MULTIPLE COMPANIES - Requires Clarification,,"7,138,066"
mdcarts1,Wholesale and distribution services (MWD),Luxury Electric Golf Carts & Recreational Vehicles Manufacturing,,0
division9associates,Wholesale and distribution services (MWD),Commercial Flooring Distribution - Multi-Line Sales Agency,,0
appackagingcorp,Manufacturing (MWD),Protective Packaging Manufacturing,,0
artbrandsllc,Manufacturing (MWD),Heat Transfer Manufacturing & Garment Decoration,,"2,411,022"
siegelperformancesystems,Wholesale and distribution services (MWD),Fitness & Rehabilitation Equipment Distribution,,0
mtausa,Wholesale and distribution services (MWD),Industrial Process Cooling & Compressed Air Treatment Manufacturing,,0
affordablemedical,Retail,MULTIPLE COMPANIES - Requires Clarification,,0
