field,research_value,enriched_value,research_normalized,enriched_normalized,account,enriched_industry_research,enriched_vertical,note
industry_vs_vertical,Food & Beverage,Manufacturing (MWD),Food & Beverage,Manufacturing (MWD),magicbreezekombucha,PENDING RESEARCH,,
industry_vs_industry_research,Food & Beverage,PENDING RESEARCH,Food & Beverage,PENDING RESEARCH,magicbreezekombucha,,Manufacturing (MWD),
sub_industry,Craft Beverages (Kombucha),NOT_IN_ENRICHED,,,magicbreezekombucha,,,Sub-industry detail exists in research but not tracked in enriched
workflow_pattern,crm_pipeline,PENDING RESEARCH,crm_pipeline,PENDING RESEARCH,magicbreezekombucha,,,
qbo_industry_vs_sector,Breweries,,Breweries,,magicbreezekombucha,,,
total_events,8,NOT_IN_ENRICHED,,,magicbreezekombucha,,,Event count tracked in research only
classification_source,manual_verification,NOT_IN_ENRICHED,,,magicbreezekombucha,,,Classification source tracked in research only
confidence,high,NOT_IN_ENRICHED,,,magicbreezekombucha,,,Confidence level tracked in research only
industry_vs_vertical,Other,Wholesale and distribution services (MWD),Other,Wholesale and distribution services (MWD),synova,PENDING RESEARCH,,
industry_vs_industry_research,Other,PENDING RESEARCH,Other,PENDING RESEARCH,synova,,Wholesale and distribution services (MWD),
sub_industry,Unclassified,NOT_IN_ENRICHED,,,synova,,,Sub-industry detail exists in research but not tracked in enriched
workflow_pattern,crm_pipeline,PENDING RESEARCH,crm_pipeline,PENDING RESEARCH,synova,,,
qbo_industry_vs_sector,Manufacturing,,Manufacturing,,synova,,,
total_events,41,NOT_IN_ENRICHED,,,synova,,,Event count tracked in research only
classification_source,unclassified,NOT_IN_ENRICHED,,,synova,,,Classification source tracked in research only
industry_vs_vertical,Other,Wholesale and distribution services (MWD),Other,Wholesale and distribution services (MWD),ssisanitary,PENDING RESEARCH,,
industry_vs_industry_research,Other,PENDING RESEARCH,Other,PENDING RESEARCH,ssisanitary,,Wholesale and distribution services (MWD),
sub_industry,Unclassified,NOT_IN_ENRICHED,,,ssisanitary,,,Sub-industry detail exists in research but not tracked in enriched
workflow_pattern,quote_driven,PENDING RESEARCH,quote_driven,PENDING RESEARCH,ssisanitary,,,
total_events,58,NOT_IN_ENRICHED,,,ssisanitary,,,Event count tracked in research only
classification_source,unclassified,NOT_IN_ENRICHED,,,ssisanitary,,,Classification source tracked in research only
industry_vs_industry_research,Retail,PENDING RESEARCH,Retail,PENDING RESEARCH,allmakeappliances,,Retail,
sub_industry,Appliances,NOT_IN_ENRICHED,,,allmakeappliances,,,Sub-industry detail exists in research but not tracked in enriched
workflow_pattern,transactional,PENDING RESEARCH,transactional,PENDING RESEARCH,allmakeappliances,,,
total_events,268,NOT_IN_ENRICHED,,,allmakeappliances,,,Event count tracked in research only
classification_source,llm_classification,NOT_IN_ENRICHED,,,allmakeappliances,,,Classification source tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,allmakeappliances,,,Confidence level tracked in research only
industry_vs_vertical,Other,Retail,Other,Retail,hyfloequipmentcompany3,PENDING RESEARCH,,
industry_vs_industry_research,Other,PENDING RESEARCH,Other,PENDING RESEARCH,hyfloequipmentcompany3,,Retail,
sub_industry,Unclassified,NOT_IN_ENRICHED,,,hyfloequipmentcompany3,,,Sub-industry detail exists in research but not tracked in enriched
workflow_pattern,crm_pipeline,PENDING RESEARCH,crm_pipeline,PENDING RESEARCH,hyfloequipmentcompany3,,,
qbo_industry_vs_sector,Manufacturing,,Manufacturing,,hyfloequipmentcompany3,,,
total_events,14,NOT_IN_ENRICHED,,,hyfloequipmentcompany3,,,Event count tracked in research only
classification_source,unclassified,NOT_IN_ENRICHED,,,hyfloequipmentcompany3,,,Classification source tracked in research only
industry_vs_vertical,Consumer Goods,Manufacturing (MWD),Consumer Goods,Manufacturing (MWD),stickersandmore4,PENDING RESEARCH,,
industry_vs_industry_research,Consumer Goods,PENDING RESEARCH,Consumer Goods,PENDING RESEARCH,stickersandmore4,,Manufacturing (MWD),
sub_industry,Signs/Labels,NOT_IN_ENRICHED,,,stickersandmore4,,,Sub-industry detail exists in research but not tracked in enriched
workflow_pattern,quote_driven,PENDING RESEARCH,quote_driven,PENDING RESEARCH,stickersandmore4,,,
qbo_industry_vs_sector,GeneralProductbasedBusiness,,GeneralProductbasedBusiness,,stickersandmore4,,,
total_events,40,NOT_IN_ENRICHED,,,stickersandmore4,,,Event count tracked in research only
classification_source,llm_classification,NOT_IN_ENRICHED,,,stickersandmore4,,,Classification source tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,stickersandmore4,,,Confidence level tracked in research only
industry_vs_vertical,Food & Beverage,Wholesale and distribution services (MWD),Food & Beverage,Wholesale and distribution services (MWD),battlerattle,PENDING RESEARCH,,
industry_vs_industry_research,Food & Beverage,PENDING RESEARCH,Food & Beverage,PENDING RESEARCH,battlerattle,,Wholesale and distribution services (MWD),
sub_industry,Spirits,NOT_IN_ENRICHED,,,battlerattle,,,Sub-industry detail exists in research but not tracked in enriched
workflow_pattern,transactional,PENDING RESEARCH,transactional,PENDING RESEARCH,battlerattle,,,
qbo_industry_vs_sector,OtherNone,,OtherNone,,battlerattle,,,
total_events,55,NOT_IN_ENRICHED,,,battlerattle,,,Event count tracked in research only
classification_source,llm_classification,NOT_IN_ENRICHED,,,battlerattle,,,Classification source tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,battlerattle,,,Confidence level tracked in research only
