field,research_value,enriched_value,research_normalized,enriched_normalized,account,enriched_industry_research,enriched_vertical,note
classification_source,manual_verification,NOT_IN_ENRICHED,,,magicbreezekombucha,,,Classification source tracked in research only
classification_source,unclassified,NOT_IN_ENRICHED,,,synova,,,Classification source tracked in research only
classification_source,unclassified,NOT_IN_ENRICHED,,,ssisanitary,,,Classification source tracked in research only
classification_source,llm_classification,NOT_IN_ENRICHED,,,allmakeappliances,,,Classification source tracked in research only
classification_source,unclassified,NOT_IN_ENRICHED,,,hyfloequipmentcompany3,,,Classification source tracked in research only
classification_source,llm_classification,NOT_IN_ENRICHED,,,stickersandmore4,,,Classification source tracked in research only
classification_source,llm_classification,NOT_IN_ENRICHED,,,battlerattle,,,Classification source tracked in research only
classification_source,llm_classification,NOT_IN_ENRICHED,,,americansafetyandfirehouse,,,Classification source tracked in research only
classification_source,unclassified,NOT_IN_ENRICHED,,,missionlaundryequipment3,,,Classification source tracked in research only
classification_source,llm_classification,NOT_IN_ENRICHED,,,cassinala2,,,Classification source tracked in research only
classification_source,llm_classification,NOT_IN_ENRICHED,,,peakperformancecampers,,,Classification source tracked in research only
classification_source,unclassified,NOT_IN_ENRICHED,,,industrimax2,,,Classification source tracked in research only
classification_source,llm_classification,NOT_IN_ENRICHED,,,formersinternational5,,,Classification source tracked in research only
classification_source,manual_verification,NOT_IN_ENRICHED,,,deansbeansorganiccoffee4,,,Classification source tracked in research only
classification_source,unclassified,NOT_IN_ENRICHED,,,concealite,,,Classification source tracked in research only
classification_source,unclassified,NOT_IN_ENRICHED,,,gsinks,,,Classification source tracked in research only
classification_source,llm_classification,NOT_IN_ENRICHED,,,norwooddeviceanddiagnostics,,,Classification source tracked in research only
classification_source,llm_classification,NOT_IN_ENRICHED,,,g3packaging2,,,Classification source tracked in research only
classification_source,unclassified,NOT_IN_ENRICHED,,,burnewiin2,,,Classification source tracked in research only
classification_source,unclassified,NOT_IN_ENRICHED,,,gorillahammers4,,,Classification source tracked in research only
classification_source,llm_classification,NOT_IN_ENRICHED,,,lumerasolarinc,,,Classification source tracked in research only
classification_source,manual_verification,NOT_IN_ENRICHED,,,moderncompressorsales,,,Classification source tracked in research only
classification_source,unclassified,NOT_IN_ENRICHED,,,acentel,,,Classification source tracked in research only
classification_source,llm_classification,NOT_IN_ENRICHED,,,nxtchlng,,,Classification source tracked in research only
classification_source,unclassified,NOT_IN_ENRICHED,,,radsuramerica,,,Classification source tracked in research only
classification_source,unclassified,NOT_IN_ENRICHED,,,gothamlgt,,,Classification source tracked in research only
classification_source,unclassified,NOT_IN_ENRICHED,,,hendersonenterprises,,,Classification source tracked in research only
classification_source,llm_classification,NOT_IN_ENRICHED,,,appenninofoodusa,,,Classification source tracked in research only
classification_source,unclassified,NOT_IN_ENRICHED,,,sierracontainergroup,,,Classification source tracked in research only
classification_source,manual_verification,NOT_IN_ENRICHED,,,cuveecoffee,,,Classification source tracked in research only
classification_source,manual_verification,NOT_IN_ENRICHED,,,fibercablesdirect,,,Classification source tracked in research only
classification_source,manual_verification,NOT_IN_ENRICHED,,,koolwaysports,,,Classification source tracked in research only
classification_source,llm_classification,NOT_IN_ENRICHED,,,icustomlabel,,,Classification source tracked in research only
classification_source,llm_classification,NOT_IN_ENRICHED,,,audioconcepts,,,Classification source tracked in research only
classification_source,llm_classification,NOT_IN_ENRICHED,,,blackstonesportsinc2,,,Classification source tracked in research only
classification_source,unclassified,NOT_IN_ENRICHED,,,industrialodorcontrol2,,,Classification source tracked in research only
classification_source,unclassified,NOT_IN_ENRICHED,,,wmuniformgroup,,,Classification source tracked in research only
classification_source,llm_classification,NOT_IN_ENRICHED,,,commonwealthindustrialinc,,,Classification source tracked in research only
classification_source,llm_classification,NOT_IN_ENRICHED,,,woodlabuae,,,Classification source tracked in research only
classification_source,llm_classification,NOT_IN_ENRICHED,,,geotoolsusa,,,Classification source tracked in research only
classification_source,llm_classification,NOT_IN_ENRICHED,,,socalfencesupply2,,,Classification source tracked in research only
classification_source,llm_classification,NOT_IN_ENRICHED,,,diamondbladedistributorsllc,,,Classification source tracked in research only
classification_source,llm_classification,NOT_IN_ENRICHED,,,planesights,,,Classification source tracked in research only
classification_source,llm_classification,NOT_IN_ENRICHED,,,questonedistributors,,,Classification source tracked in research only
classification_source,manual_verification,NOT_IN_ENRICHED,,,namesakebrewing,,,Classification source tracked in research only
classification_source,unclassified,NOT_IN_ENRICHED,,,stevenenterprises2,,,Classification source tracked in research only
classification_source,llm_classification,NOT_IN_ENRICHED,,,smakdab,,,Classification source tracked in research only
classification_source,llm_classification,NOT_IN_ENRICHED,,,georgiapowdercoating3,,,Classification source tracked in research only
classification_source,manual_verification,NOT_IN_ENRICHED,,,accesscasters3,,,Classification source tracked in research only
classification_source,manual_verification,NOT_IN_ENRICHED,,,davishoseinc,,,Classification source tracked in research only
classification_source,llm_classification,NOT_IN_ENRICHED,,,capitalabrasivesllc,,,Classification source tracked in research only
classification_source,llm_classification,NOT_IN_ENRICHED,,,harbertcastingrepair,,,Classification source tracked in research only
classification_source,unclassified,NOT_IN_ENRICHED,,,gulfharvest2,,,Classification source tracked in research only
classification_source,unclassified,NOT_IN_ENRICHED,,,categorycreations,,,Classification source tracked in research only
classification_source,llm_classification,NOT_IN_ENRICHED,,,ezbrandsllc,,,Classification source tracked in research only
classification_source,llm_classification,NOT_IN_ENRICHED,,,armal,,,Classification source tracked in research only
classification_source,unclassified,NOT_IN_ENRICHED,,,heavisideindustriesinc,,,Classification source tracked in research only
classification_source,llm_classification,NOT_IN_ENRICHED,,,steelecomponents,,,Classification source tracked in research only
classification_source,llm_classification,NOT_IN_ENRICHED,,,sitepieces2,,,Classification source tracked in research only
classification_source,llm_classification,NOT_IN_ENRICHED,,,tekkometals,,,Classification source tracked in research only
classification_source,llm_classification,NOT_IN_ENRICHED,,,catsfilters,,,Classification source tracked in research only
classification_source,llm_classification,NOT_IN_ENRICHED,,,stamfordtimeandco,,,Classification source tracked in research only
classification_source,manual_verification,NOT_IN_ENRICHED,,,pneusquebecnet,,,Classification source tracked in research only
classification_source,llm_classification,NOT_IN_ENRICHED,,,ssifiresolutions,,,Classification source tracked in research only
classification_source,unclassified,NOT_IN_ENRICHED,,,mycologicalnaturalproducts,,,Classification source tracked in research only
classification_source,manual_verification,NOT_IN_ENRICHED,,,silverlinejudaica,,,Classification source tracked in research only
classification_source,unclassified,NOT_IN_ENRICHED,,,bandtcommunicationsinc3,,,Classification source tracked in research only
classification_source,llm_classification,NOT_IN_ENRICHED,,,larryssausage,,,Classification source tracked in research only
classification_source,unclassified,NOT_IN_ENRICHED,,,americansupplycompanyinc,,,Classification source tracked in research only
classification_source,llm_classification,NOT_IN_ENRICHED,,,big,,,Classification source tracked in research only
classification_source,manual_verification,NOT_IN_ENRICHED,,,helenarosejewelry,,,Classification source tracked in research only
classification_source,llm_classification,NOT_IN_ENRICHED,,,readyvista,,,Classification source tracked in research only
classification_source,llm_classification,NOT_IN_ENRICHED,,,plasmaprocessgroup4,,,Classification source tracked in research only
classification_source,unclassified,NOT_IN_ENRICHED,,,uselitegear,,,Classification source tracked in research only
