field,research_value,enriched_value,research_normalized,enriched_normalized,account,enriched_industry_research,enriched_vertical,note
confidence,high,NOT_IN_ENRICHED,,,magicbreezekombucha,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,allmakeappliances,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,stickersandmore4,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,battlerattle,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,americansafetyandfirehouse,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,cassinala2,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,peakperformancecampers,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,formersinternational5,,,Confidence level tracked in research only
confidence,high,NOT_IN_ENRICHED,,,deansbeansorganiccoffee4,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,norwooddeviceanddiagnostics,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,g3packaging2,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,lumerasolarinc,,,Confidence level tracked in research only
confidence,high,NOT_IN_ENRICHED,,,moderncompressorsales,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,nxtchlng,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,appenninofoodusa,,,Confidence level tracked in research only
confidence,high,NOT_IN_ENRICHED,,,cuveecoffee,,,Confidence level tracked in research only
confidence,high,NOT_IN_ENRICHED,,,fibercablesdirect,,,Confidence level tracked in research only
confidence,high,NOT_IN_ENRICHED,,,koolwaysports,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,icustomlabel,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,audioconcepts,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,blackstonesportsinc2,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,commonwealthindustrialinc,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,woodlabuae,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,geotoolsusa,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,socalfencesupply2,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,diamondbladedistributorsllc,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,planesights,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,questonedistributors,,,Confidence level tracked in research only
confidence,high,NOT_IN_ENRICHED,,,namesakebrewing,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,smakdab,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,georgiapowdercoating3,,,Confidence level tracked in research only
confidence,high,NOT_IN_ENRICHED,,,accesscasters3,,,Confidence level tracked in research only
confidence,high,NOT_IN_ENRICHED,,,davishoseinc,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,capitalabrasivesllc,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,harbertcastingrepair,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,ezbrandsllc,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,armal,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,steelecomponents,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,sitepieces2,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,tekkometals,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,catsfilters,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,stamfordtimeandco,,,Confidence level tracked in research only
confidence,high,NOT_IN_ENRICHED,,,pneusquebecnet,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,ssifiresolutions,,,Confidence level tracked in research only
confidence,high,NOT_IN_ENRICHED,,,silverlinejudaica,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,larryssausage,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,big,,,Confidence level tracked in research only
confidence,high,NOT_IN_ENRICHED,,,helenarosejewelry,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,readyvista,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,plasmaprocessgroup4,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,brandxmetalsinc2,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,sacredstudiosinc,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,tangiblecreative2,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,bioskinaestheticsinc,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,crimsonimaging,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,solshinehair,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,icandyenergydrink,,,Confidence level tracked in research only
confidence,high,NOT_IN_ENRICHED,,,fosterus,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,topoffice,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,uniquewoodfloor,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,thomashayesstudio3,,,Confidence level tracked in research only
confidence,high,NOT_IN_ENRICHED,,,amtonllcbabyclubchic,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,precisiondoors3,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,todaytomorrowapparel,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,bl2systemsllc,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,artbrandsholdings,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,abhasafinancialservices2,,,Confidence level tracked in research only
confidence,high,NOT_IN_ENRICHED,,,donecdistributors,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,miminternationalinc,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,pspglobalwines2,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,medallionfence,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,nearymartin,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,reaganwirelesscorp,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,memiairellc,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,awcomm2,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,amarenusa,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,superiorcleaningequipmentinc,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,classicexhaustsystemsllc,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,picturethisframinginc,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,militarypilotsupplyoftexasllc,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,easternwireproducts,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,lightingxcorp,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,revivehealthcaregroup,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,miabsgpteltd,,,Confidence level tracked in research only
confidence,medium,NOT_IN_ENRICHED,,,thecarekioskptyltd,,,Confidence level tracked in research only
