field,research_value,enriched_value,research_normalized,enriched_normalized,account,enriched_industry_research,enriched_vertical,note
industry_vs_industry_research,Food & Beverage,PENDING RESEARCH,Food & Beverage,PENDING RESEARCH,magicbreezekombucha,,Manufacturing (MWD),
industry_vs_industry_research,Other,PENDING RESEARCH,Other,PENDING RESEARCH,synova,,Wholesale and distribution services (MWD),
industry_vs_industry_research,Other,PENDING RESEARCH,Other,PENDING RESEARCH,ssisanitary,,Wholesale and distribution services (MWD),
industry_vs_industry_research,Retail,PENDING RESEARCH,Retail,PENDING RESEARCH,allmakeappliances,,Retail,
industry_vs_industry_research,Other,PENDING RESEARCH,Other,PENDING RESEARCH,hyfloequipmentcompany3,,Retail,
industry_vs_industry_research,Consumer Goods,PENDING RESEARCH,Consumer Goods,PENDING RESEARCH,stickersandmore4,,Manufacturing (MWD),
industry_vs_industry_research,Food & Beverage,PENDING RESEARCH,Food & Beverage,PENDING RESEARCH,battlerattle,,Wholesale and distribution services (MWD),
industry_vs_industry_research,Security Equipment,PENDING RESEARCH,Security Equipment,PENDING RESEARCH,americansafetyandfirehouse,,Wholesale and distribution services (MWD),
industry_vs_industry_research,Other,PENDING RESEARCH,Other,PENDING RESEARCH,missionlaundryequipment3,,Wholesale and distribution services (MWD),
industry_vs_industry_research,Furniture,PENDING RESEARCH,Furniture,PENDING RESEARCH,cassinala2,,Retail,
industry_vs_industry_research,Sports & Recreation,PENDING RESEARCH,Sports & Recreation,PENDING RESEARCH,peakperformancecampers,,Manufacturing (MWD),
industry_vs_industry_research,Other,PENDING RESEARCH,Other,PENDING RESEARCH,industrimax2,,Wholesale and distribution services (MWD),
industry_vs_industry_research,Manufacturing,PENDING RESEARCH,Manufacturing,PENDING RESEARCH,formersinternational5,,Manufacturing (MWD),
industry_vs_industry_research,Food & Beverage,PENDING RESEARCH,Food & Beverage,PENDING RESEARCH,deansbeansorganiccoffee4,,Wholesale and distribution services (MWD),
industry_vs_industry_research,Other,PENDING RESEARCH,Other,PENDING RESEARCH,concealite,,Manufacturing (MWD),
industry_vs_industry_research,Other,PENDING RESEARCH,Other,PENDING RESEARCH,gsinks,,Manufacturing (MWD),
industry_vs_industry_research,Construction & Building,PENDING RESEARCH,Construction & Building,PENDING RESEARCH,norwooddeviceanddiagnostics,,Retail,
industry_vs_industry_research,Food & Beverage,PENDING RESEARCH,Food & Beverage,PENDING RESEARCH,g3packaging2,,Manufacturing (MWD),
industry_vs_industry_research,Other,PENDING RESEARCH,Other,PENDING RESEARCH,burnewiin2,,Manufacturing (MWD),
industry_vs_industry_research,Other,PENDING RESEARCH,Other,PENDING RESEARCH,gorillahammers4,,Wholesale and distribution services (MWD),
industry_vs_industry_research,Electrical,PENDING RESEARCH,Electrical,PENDING RESEARCH,lumerasolarinc,,Manufacturing (MWD),
industry_vs_industry_research,Industrial,PENDING RESEARCH,Industrial,PENDING RESEARCH,moderncompressorsales,,Manufacturing (MWD),
industry_vs_industry_research,Other,PENDING RESEARCH,Other,PENDING RESEARCH,acentel,,Wholesale and distribution services (MWD),
industry_vs_industry_research,Construction & Building,PENDING RESEARCH,Construction & Building,PENDING RESEARCH,nxtchlng,,Manufacturing (MWD),
industry_vs_industry_research,Other,PENDING RESEARCH,Other,PENDING RESEARCH,radsuramerica,,Wholesale and distribution services (MWD),
industry_vs_industry_research,Other,PENDING RESEARCH,Other,PENDING RESEARCH,gothamlgt,,Wholesale and distribution services (MWD),
industry_vs_industry_research,Other,PENDING RESEARCH,Other,PENDING RESEARCH,hendersonenterprises,,Wholesale and distribution services (MWD),
industry_vs_industry_research,Food & Beverage,PENDING RESEARCH,Food & Beverage,PENDING RESEARCH,appenninofoodusa,,Wholesale and distribution services (MWD),
industry_vs_industry_research,Other,PENDING RESEARCH,Other,PENDING RESEARCH,sierracontainergroup,,Manufacturing (MWD),
industry_vs_industry_research,Food & Beverage,PENDING RESEARCH,Food & Beverage,PENDING RESEARCH,cuveecoffee,,Wholesale and distribution services (MWD),
industry_vs_industry_research,Technology,PENDING RESEARCH,Technology,PENDING RESEARCH,fibercablesdirect,,Manufacturing (MWD),
industry_vs_industry_research,Consumer Goods,PENDING RESEARCH,Consumer Goods,PENDING RESEARCH,koolwaysports,,Manufacturing (MWD),
industry_vs_industry_research,Food & Beverage,PENDING RESEARCH,Food & Beverage,PENDING RESEARCH,icustomlabel,,Wholesale and distribution services (MWD),
