field,research_value,enriched_value,research_normalized,enriched_normalized,account,enriched_industry_research,enriched_vertical,note
industry_vs_vertical,Food & Beverage,Manufacturing (MWD),Food & Beverage,Manufacturing (MWD),magicbreezekombucha,PENDING RESEARCH,,
industry_vs_vertical,Other,Wholesale and distribution services (MWD),Other,Wholesale and distribution services (MWD),synova,PENDING RESEARCH,,
industry_vs_vertical,Other,Wholesale and distribution services (MWD),Other,Wholesale and distribution services (MWD),ssisanitary,PENDING RESEARCH,,
industry_vs_vertical,Other,Retail,Other,Retail,hyfloequipmentcompany3,PENDING RESEARCH,,
industry_vs_vertical,Consumer Goods,Manufacturing (MWD),Consumer Goods,Manufacturing (MWD),stickersandmore4,PENDING RESEARCH,,
industry_vs_vertical,Food & Beverage,Wholesale and distribution services (MWD),Food & Beverage,Wholesale and distribution services (MWD),battlerattle,PENDING RESEARCH,,
industry_vs_vertical,Security Equipment,Wholesale and distribution services (MWD),Security Equipment,Wholesale and distribution services (MWD),americansafetyandfirehouse,PENDING RESEARCH,,
industry_vs_vertical,Other,Wholesale and distribution services (MWD),Other,Wholesale and distribution services (MWD),missionlaundryequipment3,PENDING RESEARCH,,
industry_vs_vertical,Furniture,Retail,Furniture,Retail,cassinala2,PENDING RESEARCH,,
industry_vs_vertical,Sports & Recreation,Manufacturing (MWD),Sports & Recreation,Manufacturing (MWD),peakperformancecampers,PENDING RESEARCH,,
industry_vs_vertical,Other,Wholesale and distribution services (MWD),Other,Wholesale and distribution services (MWD),industrimax2,PENDING RESEARCH,,
industry_vs_vertical,Manufacturing,Manufacturing (MWD),Manufacturing,Manufacturing (MWD),formersinternational5,PENDING RESEARCH,,
industry_vs_vertical,Food & Beverage,Wholesale and distribution services (MWD),Food & Beverage,Wholesale and distribution services (MWD),deansbeansorganiccoffee4,PENDING RESEARCH,,
industry_vs_vertical,Other,Manufacturing (MWD),Other,Manufacturing (MWD),concealite,PENDING RESEARCH,,
industry_vs_vertical,Other,Manufacturing (MWD),Other,Manufacturing (MWD),gsinks,PENDING RESEARCH,,
industry_vs_vertical,Construction & Building,Retail,Construction & Building,Retail,norwooddeviceanddiagnostics,PENDING RESEARCH,,
industry_vs_vertical,Food & Beverage,Manufacturing (MWD),Food & Beverage,Manufacturing (MWD),g3packaging2,PENDING RESEARCH,,
industry_vs_vertical,Other,Manufacturing (MWD),Other,Manufacturing (MWD),burnewiin2,PENDING RESEARCH,,
industry_vs_vertical,Other,Wholesale and distribution services (MWD),Other,Wholesale and distribution services (MWD),gorillahammers4,PENDING RESEARCH,,
industry_vs_vertical,Electrical,Manufacturing (MWD),Electrical,Manufacturing (MWD),lumerasolarinc,PENDING RESEARCH,,
industry_vs_vertical,Industrial,Manufacturing (MWD),Industrial,Manufacturing (MWD),moderncompressorsales,PENDING RESEARCH,,
industry_vs_vertical,Other,Wholesale and distribution services (MWD),Other,Wholesale and distribution services (MWD),acentel,PENDING RESEARCH,,
industry_vs_vertical,Construction & Building,Manufacturing (MWD),Construction & Building,Manufacturing (MWD),nxtchlng,PENDING RESEARCH,,
industry_vs_vertical,Other,Wholesale and distribution services (MWD),Other,Wholesale and distribution services (MWD),radsuramerica,PENDING RESEARCH,,
industry_vs_vertical,Other,Wholesale and distribution services (MWD),Other,Wholesale and distribution services (MWD),gothamlgt,PENDING RESEARCH,,
industry_vs_vertical,Other,Wholesale and distribution services (MWD),Other,Wholesale and distribution services (MWD),hendersonenterprises,PENDING RESEARCH,,
industry_vs_vertical,Food & Beverage,Wholesale and distribution services (MWD),Food & Beverage,Wholesale and distribution services (MWD),appenninofoodusa,PENDING RESEARCH,,
industry_vs_vertical,Other,Manufacturing (MWD),Other,Manufacturing (MWD),sierracontainergroup,PENDING RESEARCH,,
industry_vs_vertical,Food & Beverage,Wholesale and distribution services (MWD),Food & Beverage,Wholesale and distribution services (MWD),cuveecoffee,PENDING RESEARCH,,
industry_vs_vertical,Technology,Manufacturing (MWD),Technology,Manufacturing (MWD),fibercablesdirect,PENDING RESEARCH,,
industry_vs_vertical,Consumer Goods,Manufacturing (MWD),Consumer Goods,Manufacturing (MWD),koolwaysports,PENDING RESEARCH,,
industry_vs_vertical,Food & Beverage,Wholesale and distribution services (MWD),Food & Beverage,Wholesale and distribution services (MWD),icustomlabel,PENDING RESEARCH,,
industry_vs_vertical,Consumer Goods,Retail,Consumer Goods,Retail,audioconcepts,PENDING RESEARCH,,
industry_vs_vertical,Construction & Building,Manufacturing (MWD),Construction & Building,Manufacturing (MWD),blackstonesportsinc2,PENDING RESEARCH,,
industry_vs_vertical,Other,Manufacturing (MWD),Other,Manufacturing (MWD),industrialodorcontrol2,PENDING RESEARCH,,
industry_vs_vertical,Other,Wholesale and distribution services (MWD),Other,Wholesale and distribution services (MWD),wmuniformgroup,PENDING RESEARCH,,
industry_vs_vertical,Food & Beverage,Manufacturing (MWD),Food & Beverage,Manufacturing (MWD),commonwealthindustrialinc,PENDING RESEARCH,,
industry_vs_vertical,Construction & Building,Manufacturing (MWD),Construction & Building,Manufacturing (MWD),woodlabuae,PENDING RESEARCH,,
industry_vs_vertical,Industrial,Manufacturing (MWD),Industrial,Manufacturing (MWD),geotoolsusa,PENDING RESEARCH,,
industry_vs_vertical,Construction & Building,Wholesale and distribution services (MWD),Construction & Building,Wholesale and distribution services (MWD),socalfencesupply2,PENDING RESEARCH,,
