field,research_value,enriched_value,research_normalized,enriched_normalized,account,enriched_industry_research,enriched_vertical,note
sub_industry,Craft Beverages (Kombucha),NOT_IN_ENRICHED,,,magicbreezekombucha,,,Sub-industry detail exists in research but not tracked in enriched
sub_industry,Unclassified,NOT_IN_ENRICHED,,,synova,,,Sub-industry detail exists in research but not tracked in enriched
sub_industry,Unclassified,NOT_IN_ENRICHED,,,ssisanitary,,,Sub-industry detail exists in research but not tracked in enriched
sub_industry,Appliances,NOT_IN_ENRICHED,,,allmakeappliances,,,Sub-industry detail exists in research but not tracked in enriched
sub_industry,Unclassified,NOT_IN_ENRICHED,,,hyfloequipmentcompany3,,,Sub-industry detail exists in research but not tracked in enriched
sub_industry,Signs/Labels,NOT_IN_ENRICHED,,,stickersandmore4,,,Sub-industry detail exists in research but not tracked in enriched
sub_industry,Spirits,NOT_IN_ENRICHED,,,battlerattle,,,Sub-industry detail exists in research but not tracked in enriched
sub_industry,Safes/Security,NOT_IN_ENRICHED,,,americansafetyandfirehouse,,,Sub-industry detail exists in research but not tracked in enriched
sub_industry,Unclassified,NOT_IN_ENRICHED,,,missionlaundryequipment3,,,Sub-industry detail exists in research but not tracked in enriched
sub_industry,Furniture,NOT_IN_ENRICHED,,,cassinala2,,,Sub-industry detail exists in research but not tracked in enriched
sub_industry,Outdoor/Camping,NOT_IN_ENRICHED,,,peakperformancecampers,,,Sub-industry detail exists in research but not tracked in enriched
sub_industry,Unclassified,NOT_IN_ENRICHED,,,industrimax2,,,Sub-industry detail exists in research but not tracked in enriched
sub_industry,Food Packaging Equipment,NOT_IN_ENRICHED,,,formersinternational5,,,Sub-industry detail exists in research but not tracked in enriched
sub_industry,Coffee Roasting,NOT_IN_ENRICHED,,,deansbeansorganiccoffee4,,,Sub-industry detail exists in research but not tracked in enriched
sub_industry,Unclassified,NOT_IN_ENRICHED,,,concealite,,,Sub-industry detail exists in research but not tracked in enriched
sub_industry,Unclassified,NOT_IN_ENRICHED,,,gsinks,,,Sub-industry detail exists in research but not tracked in enriched
sub_industry,Lumber,NOT_IN_ENRICHED,,,norwooddeviceanddiagnostics,,,Sub-industry detail exists in research but not tracked in enriched
