field,research_value,enriched_value,research_normalized,enriched_normalized,account,enriched_industry_research,enriched_vertical,note
total_events,8,NOT_IN_ENRICHED,,,magicbreezekombucha,,,Event count tracked in research only
total_events,41,NOT_IN_ENRICHED,,,synova,,,Event count tracked in research only
total_events,58,NOT_IN_ENRICHED,,,ssisanitary,,,Event count tracked in research only
total_events,268,NOT_IN_ENRICHED,,,allmakeappliances,,,Event count tracked in research only
total_events,14,NOT_IN_ENRICHED,,,hyfloequipmentcompany3,,,Event count tracked in research only
total_events,40,NOT_IN_ENRICHED,,,stickersandmore4,,,Event count tracked in research only
total_events,55,NOT_IN_ENRICHED,,,battlerattle,,,Event count tracked in research only
total_events,19,NOT_IN_ENRICHED,,,americansafetyandfirehouse,,,Event count tracked in research only
total_events,16,NOT_IN_ENRICHED,,,missionlaundryequipment3,,,Event count tracked in research only
total_events,78,NOT_IN_ENRICHED,,,cassinala2,,,Event count tracked in research only
total_events,13,NOT_IN_ENRICHED,,,peakperformancecampers,,,Event count tracked in research only
total_events,12,NOT_IN_ENRICHED,,,industrimax2,,,Event count tracked in research only
total_events,41,NOT_IN_ENRICHED,,,formersinternational5,,,Event count tracked in research only
total_events,18,NOT_IN_ENRICHED,,,deansbeansorganiccoffee4,,,Event count tracked in research only
total_events,46,NOT_IN_ENRICHED,,,concealite,,,Event count tracked in research only
total_events,22,NOT_IN_ENRICHED,,,gsinks,,,Event count tracked in research only
total_events,153,NOT_IN_ENRICHED,,,norwooddeviceanddiagnostics,,,Event count tracked in research only
total_events,13,NOT_IN_ENRICHED,,,g3packaging2,,,Event count tracked in research only
total_events,10,NOT_IN_ENRICHED,,,burnewiin2,,,Event count tracked in research only
total_events,261,NOT_IN_ENRICHED,,,gorillahammers4,,,Event count tracked in research only
total_events,14,NOT_IN_ENRICHED,,,lumerasolarinc,,,Event count tracked in research only
total_events,2752,NOT_IN_ENRICHED,,,moderncompressorsales,,,Event count tracked in research only
total_events,32,NOT_IN_ENRICHED,,,acentel,,,Event count tracked in research only
total_events,10,NOT_IN_ENRICHED,,,nxtchlng,,,Event count tracked in research only
total_events,96,NOT_IN_ENRICHED,,,radsuramerica,,,Event count tracked in research only
total_events,77,NOT_IN_ENRICHED,,,gothamlgt,,,Event count tracked in research only
total_events,84,NOT_IN_ENRICHED,,,hendersonenterprises,,,Event count tracked in research only
total_events,509,NOT_IN_ENRICHED,,,appenninofoodusa,,,Event count tracked in research only
total_events,13,NOT_IN_ENRICHED,,,sierracontainergroup,,,Event count tracked in research only
total_events,47,NOT_IN_ENRICHED,,,cuveecoffee,,,Event count tracked in research only
total_events,230,NOT_IN_ENRICHED,,,fibercablesdirect,,,Event count tracked in research only
total_events,8,NOT_IN_ENRICHED,,,koolwaysports,,,Event count tracked in research only
total_events,11,NOT_IN_ENRICHED,,,icustomlabel,,,Event count tracked in research only
total_events,38,NOT_IN_ENRICHED,,,audioconcepts,,,Event count tracked in research only
total_events,68,NOT_IN_ENRICHED,,,blackstonesportsinc2,,,Event count tracked in research only
total_events,82,NOT_IN_ENRICHED,,,industrialodorcontrol2,,,Event count tracked in research only
total_events,22,NOT_IN_ENRICHED,,,wmuniformgroup,,,Event count tracked in research only
total_events,9,NOT_IN_ENRICHED,,,commonwealthindustrialinc,,,Event count tracked in research only
total_events,68,NOT_IN_ENRICHED,,,woodlabuae,,,Event count tracked in research only
total_events,20,NOT_IN_ENRICHED,,,geotoolsusa,,,Event count tracked in research only
total_events,915,NOT_IN_ENRICHED,,,socalfencesupply2,,,Event count tracked in research only
total_events,62,NOT_IN_ENRICHED,,,diamondbladedistributorsllc,,,Event count tracked in research only
total_events,10,NOT_IN_ENRICHED,,,planesights,,,Event count tracked in research only
total_events,18,NOT_IN_ENRICHED,,,questonedistributors,,,Event count tracked in research only
total_events,9,NOT_IN_ENRICHED,,,namesakebrewing,,,Event count tracked in research only
total_events,2440,NOT_IN_ENRICHED,,,stevenenterprises2,,,Event count tracked in research only
total_events,59,NOT_IN_ENRICHED,,,smakdab,,,Event count tracked in research only
total_events,12812,NOT_IN_ENRICHED,,,georgiapowdercoating3,,,Event count tracked in research only
total_events,102,NOT_IN_ENRICHED,,,accesscasters3,,,Event count tracked in research only
total_events,1996,NOT_IN_ENRICHED,,,davishoseinc,,,Event count tracked in research only
total_events,105,NOT_IN_ENRICHED,,,capitalabrasivesllc,,,Event count tracked in research only
total_events,373,NOT_IN_ENRICHED,,,harbertcastingrepair,,,Event count tracked in research only
total_events,230,NOT_IN_ENRICHED,,,gulfharvest2,,,Event count tracked in research only
total_events,116,NOT_IN_ENRICHED,,,categorycreations,,,Event count tracked in research only
total_events,176,NOT_IN_ENRICHED,,,ezbrandsllc,,,Event count tracked in research only
total_events,1686,NOT_IN_ENRICHED,,,armal,,,Event count tracked in research only
total_events,62,NOT_IN_ENRICHED,,,heavisideindustriesinc,,,Event count tracked in research only
total_events,12,NOT_IN_ENRICHED,,,steelecomponents,,,Event count tracked in research only
total_events,12,NOT_IN_ENRICHED,,,sitepieces2,,,Event count tracked in research only
total_events,27,NOT_IN_ENRICHED,,,tekkometals,,,Event count tracked in research only
