field,research_value,enriched_value,research_normalized,enriched_normalized,account,enriched_industry_research,enriched_vertical,note
workflow_pattern,crm_pipeline,PENDING RESEARCH,crm_pipeline,PENDING RESEARCH,magicbreezekombucha,,,
workflow_pattern,crm_pipeline,PENDING RESEARCH,crm_pipeline,PENDING RESEARCH,synova,,,
workflow_pattern,quote_driven,PENDING RESEARCH,quote_driven,PENDING RESEARCH,ssisanitary,,,
workflow_pattern,transactional,PENDING RESEARCH,transactional,PENDING RESEARCH,allmakeappliances,,,
workflow_pattern,crm_pipeline,PENDING RESEARCH,crm_pipeline,PENDING RESEARCH,hyfloequipmentcompany3,,,
workflow_pattern,quote_driven,PENDING RESEARCH,quote_driven,PENDING RESEARCH,stickersandmore4,,,
workflow_pattern,transactional,PENDING RESEARCH,transactional,PENDING RESEARCH,battlerattle,,,
workflow_pattern,crm_pipeline,PENDING RESEARCH,crm_pipeline,PENDING RESEARCH,americansafetyandfirehouse,,,
workflow_pattern,crm_pipeline,PENDING RESEARCH,crm_pipeline,PENDING RESEARCH,missionlaundryequipment3,,,
workflow_pattern,crm_pipeline,PENDING RESEARCH,crm_pipeline,PENDING RESEARCH,cassinala2,,,
workflow_pattern,crm_pipeline,PENDING RESEARCH,crm_pipeline,PENDING RESEARCH,peakperformancecampers,,,
workflow_pattern,crm_pipeline,PENDING RESEARCH,crm_pipeline,PENDING RESEARCH,industrimax2,,,
workflow_pattern,quote_driven,PENDING RESEARCH,quote_driven,PENDING RESEARCH,formersinternational5,,,
workflow_pattern,crm_pipeline,PENDING RESEARCH,crm_pipeline,PENDING RESEARCH,deansbeansorganiccoffee4,,,
workflow_pattern,quote_driven,PENDING RESEARCH,quote_driven,PENDING RESEARCH,concealite,,,
workflow_pattern,crm_pipeline,PENDING RESEARCH,crm_pipeline,PENDING RESEARCH,gsinks,,,
workflow_pattern,crm_pipeline,PENDING RESEARCH,crm_pipeline,PENDING RESEARCH,norwooddeviceanddiagnostics,,,
workflow_pattern,crm_pipeline,PENDING RESEARCH,crm_pipeline,PENDING RESEARCH,g3packaging2,,,
workflow_pattern,crm_pipeline,PENDING RESEARCH,crm_pipeline,PENDING RESEARCH,burnewiin2,,,
workflow_pattern,crm_pipeline,PENDING RESEARCH,crm_pipeline,PENDING RESEARCH,gorillahammers4,,,
workflow_pattern,crm_pipeline,PENDING RESEARCH,crm_pipeline,PENDING RESEARCH,lumerasolarinc,,,
workflow_pattern,quote_driven,PENDING RESEARCH,quote_driven,PENDING RESEARCH,moderncompressorsales,,,
workflow_pattern,quote_driven,PENDING RESEARCH,quote_driven,PENDING RESEARCH,acentel,,,
workflow_pattern,crm_pipeline,PENDING RESEARCH,crm_pipeline,PENDING RESEARCH,nxtchlng,,,
workflow_pattern,quote_driven,PENDING RESEARCH,quote_driven,PENDING RESEARCH,radsuramerica,,,
workflow_pattern,quote_driven,PENDING RESEARCH,quote_driven,PENDING RESEARCH,gothamlgt,,,
workflow_pattern,quote_driven,PENDING RESEARCH,quote_driven,PENDING RESEARCH,hendersonenterprises,,,
workflow_pattern,transactional,PENDING RESEARCH,transactional,PENDING RESEARCH,appenninofoodusa,,,
workflow_pattern,crm_pipeline,PENDING RESEARCH,crm_pipeline,PENDING RESEARCH,sierracontainergroup,,,
workflow_pattern,crm_pipeline,PENDING RESEARCH,crm_pipeline,PENDING RESEARCH,cuveecoffee,,,
workflow_pattern,quote_driven,PENDING RESEARCH,quote_driven,PENDING RESEARCH,fibercablesdirect,,,
workflow_pattern,crm_pipeline,PENDING RESEARCH,crm_pipeline,PENDING RESEARCH,koolwaysports,,,
workflow_pattern,crm_pipeline,PENDING RESEARCH,crm_pipeline,PENDING RESEARCH,icustomlabel,,,
workflow_pattern,crm_pipeline,PENDING RESEARCH,crm_pipeline,PENDING RESEARCH,audioconcepts,,,
workflow_pattern,crm_pipeline,PENDING RESEARCH,crm_pipeline,PENDING RESEARCH,blackstonesportsinc2,,,
workflow_pattern,crm_pipeline,PENDING RESEARCH,crm_pipeline,PENDING RESEARCH,industrialodorcontrol2,,,
