account,industry,sub_industry,workflow_pattern,total_events,classification_source,confidence,website,annual_sales,qbo_industry
magicbreezekombucha,Food & Beverage,Craft Beverages (Kombucha),crm_pipeline,8,manual_verification,high,,"378,232",Breweries
deansbeansorganiccoffee4,Food & Beverage,Coffee Roasting,crm_pipeline,18,manual_verification,high,deansbeans.com,"3,665,019",accounting_bookkeeping
moderncompressorsales,Industrial,Compressor Equipment,quote_driven,2752,manual_verification,high,,"2,410,967",
cuveecoffee,Food & Beverage,Coffee Roasting,crm_pipeline,47,manual_verification,high,,"4,855,049",
fibercablesdirect,Technology,Fiber Optics,quote_driven,230,manual_verification,high,,"2,797,681",
koolwaysports,Consumer Goods,Adaptive Fashion,crm_pipeline,8,manual_verification,high,,"133,080",
namesakebrewing,Food & Beverage,Craft Beer,crm_pipeline,9,manual_verification,high,,"182,801",
accesscasters3,Industrial,Casters & Wheels,crm_pipeline,102,manual_verification,high,accesscasters.com,0,wholesale_distribution
davishoseinc,Industrial,Industrial Hose,transactional,1996,manual_verification,high,,"2,197,710",Industrial supplies merchant wholesalers
pneusquebecnet,Automotive,Tires,crm_pipeline,1745,manual_verification,high,,"284,712",
silverlinejudaica,Consumer Goods,Religious Products,transactional,1498,manual_verification,high,,"873,769",
helenarosejewelry,Consumer Goods,Jewelry,quote_driven,422,manual_verification,high,,"2,949,164","Jewelry, watch, precious stone, and precious metal merchant wholesalers"
fosterus,Consumer Goods,Kitchen Appliances,mixed,13773,manual_verification,high,foster-us.com,"2,245,737","Household appliances, electric housewares, and con"
amtonllcbabyclubchic,Consumer Goods,Baby Products,mixed,1842,manual_verification,high,,"75,632",
abhasafinancialservices2,Services,Financial Services,mixed,1230,manual_verification,medium,,"1,190,400",
donecdistributors,Technology,Electronics Wholesale,crm_pipeline,1736,manual_verification,high,,"14,949,767",
awcomm2,Technology,Communications Equipment,quote_driven,3303,manual_verification,medium,,"8,683,324",other
militarypilotsupplyoftexasllc,Consumer Goods,Aviation Supplies,crm_pipeline,4006,manual_verification,medium,,"33,089,788",
sobremesamanagement2,Food & Beverage,Specialty Food Distribution,transactional,3190,manual_verification,high,sobremesamanagement.com,"3,074,318",
norenthermal,Industrial,Thermal Management,quote_driven,19907,manual_verification,high,,"3,076,620",
gtsimulators,Healthcare & Medical,Medical Training Simulators,quote_driven,16047,manual_verification,high,www.ibtcusa.com,"9,761,424",
experthosiery,Consumer Goods,Apparel/Hosiery,crm_pipeline,1185,manual_verification,high,experthosiery.com,"419,733",
southgateprocessequipmentinc,Industrial,Heat Transfer Equipment,quote_driven,3497,manual_verification,high,southgatepe.com,"7,117,328",
rainwatermanagmentsolutions,Construction & Building,Water Management,crm_pipeline,1893,manual_verification,high,rainwatermanagement.com,"12,696,332",other
fullcirclesolutionsllc,Manufacturing,Pallets/Packaging,transactional,1230,manual_verification,high,gmail.com,"6,884,401",
duecksmechanicalinc,Services,Mechanical Services,quote_driven,2055,manual_verification,medium,diamondshelters.net,"991,565",
randolphpaper2,Manufacturing,Paper Distribution,transactional,13893,manual_verification,high,nextdaypaper.com,"1,580,391",wholesale_distribution
egeproducts,Industrial,Agricultural Chemicals,transactional,2141,manual_verification,high,egebio.com,"19,650,785",
dddirect,Construction & Building,Sealants/Building Materials,quote_driven,1594,manual_verification,high,dddirect.us,"283,357",
rexdistributioninc,Food & Beverage,Chai & Coffee Equipment,mixed,33541,manual_verification,high,chaihai.ca,"3,213,497",
cpvusanew,Food & Beverage,Cooking Oils/Shortening,crm_pipeline,4357,manual_verification,high,cpvusa.com,"13,796,858",WholesaleDistributionandSales
