Account,SKU_Count,Avg_Delimiter_Count,Avg_Char_Length,Avg_Word_Count,Pct_With_SKU_Codes,Pct_With_Specs,Pct_With_Brand_Prefix,Pct_Service_Items,Pct_Inventory_Items,Pct_NonInventory_Items,Pct_Fee_Items,Primary_Business_Type,Catalog_Complexity_Score,Complexity_Tier,Sample_Products,SKU_Tier
royalpalnfloors,6,0.33,10.3,1.2,50.0,0.0,33.3,33.3,66.7,0.0,0.0,Hybrid (Mixed),15.2,Ultra-Simple,"Services, DUMPSTER, TREAD",6-20 (Simple)
eworkflows,20,0.4,17.4,1.9,25.0,0.0,30.0,85.0,0.0,15.0,0.0,Service-Based,12.5,Ultra-Simple,"Accounting:ACC003, Accounting:ACC01, Software:ePoduce Subscription",6-20 (Simple)
laaztecafoods,50,1.38,49.7,8.1,100.0,34.0,98.0,0.0,100.0,0.0,0.0,Inventory-Based (Physical Products),46.3,Standard,"FRESH PRODUCE:SPANISH COLOSSAL ONION - 50 Lb Bag, FRESH PRODUCE:TOMATO - 5X6 Case, FRESH PRODUCE:GREEN BELL PEPPERS - Case",21-50 (Standard)
latortillavelozinc,14,0.43,24.7,3.7,0.0,35.7,0.0,64.3,35.7,0.0,0.0,Service-Based,7.5,Ultra-Simple,"Sales Inventory A (deleted), Inventory A Cost (deleted), Inventory A (deleted)",6-20 (Simple)
bcfluidpowerofflorence3,1,0.0,26.0,1.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,Inventory-Based (Physical Products),15.1,Ultra-Simple,SPAL-4025-PP-DPAL-AS-U-W10,1-5 (Ultra-Simple)
goldanddiamonds,50,1.02,68.1,9.2,22.0,32.0,98.0,16.0,2.0,82.0,0.0,NonInventory-Based (Digital/Services),32.0,Simple,"Jewellery Repair Centre:Platinum Plating, Online Jewellery:Men's Square Stainless Steel, Polished and Personalised Cufflinks, Jewellery Repair Centre:Clean & Polish",21-50 (Standard)
zendeskinc2,2,0.0,20.5,3.5,0.0,0.0,0.0,100.0,0.0,0.0,0.0,Service-Based,0.2,Ultra-Simple,"PayPal sales tax item, PayPal discount item",1-5 (Ultra-Simple)
synergyelectricsales,1,0.0,8.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,Service-Based,0.1,Ultra-Simple,Services,1-5 (Ultra-Simple)
emblembuilt,50,0.08,11.8,1.8,0.0,0.0,0.0,8.0,0.0,92.0,2.0,NonInventory-Based (Digital/Services),4.5,Ultra-Simple,"Custom Upholstery, Freight, Services",21-50 (Standard)
koatji3,25,0.0,31.5,5.4,72.0,0.0,0.0,24.0,76.0,0.0,4.0,Inventory-Based (Physical Products),12.8,Ultra-Simple,"ORGANIC BARISTA OAT & KOJI MILK  (FS-Jun), ORGANIC BARISTA OAT & KOJI MILK (FS-J), ORGANIC BARISTA OAT & KOJI MILK (FS-O)",21-50 (Standard)
arkconcrete,50,0.92,19.5,1.9,18.0,2.0,80.0,12.0,0.0,86.0,0.0,NonInventory-Based (Digital/Services),25.0,Simple,"Address Blocks:ABSLWV, CS, Address Blocks:ABSD4",21-50 (Standard)
mccartyofficemachinesinc,50,0.0,7.5,1.1,90.0,4.0,0.0,0.0,38.0,60.0,0.0,NonInventory-Based (Digital/Services),17.9,Ultra-Simple,"METER, Job Detail, HANDLING",21-50 (Standard)
castlebar3,2,0.0,6.5,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,Service-Based,0.2,Ultra-Simple,"Services, Hours",1-5 (Ultra-Simple)
woodfieldpress,50,1.06,41.8,5.2,2.0,4.0,94.0,0.0,92.0,6.0,0.0,Inventory-Based (Physical Products),25.9,Simple,"Enclosure Card Bundle Discount, Christmas:Christmas Boxed Set of 12 Discount, Special Occasion:0499 Kittens' Birthday Notecard",21-50 (Standard)
cajunkleenproductsllc,29,0.79,12.8,1.4,72.4,0.0,55.2,0.0,0.0,89.7,0.0,NonInventory-Based (Digital/Services),26.7,Simple,"Cajun Brown:CBR5B, Cajun Brown:CBR4JC, PAL",21-50 (Standard)
saeed3,50,0.98,14.6,1.3,98.0,22.0,98.0,0.0,98.0,2.0,0.0,Inventory-Based (Physical Products),42.1,Standard,"Previous Sales, GIFTS:SG-H1114, GIFTS:SG-H1123",21-50 (Standard)
doorsmith,50,0.04,17.6,3.4,64.0,10.0,0.0,0.0,100.0,0.0,0.0,Inventory-Based (Physical Products),14.9,Ultra-Simple,"SERVICE CALL, LM877 Keypad, LM877 Keypad - 25",21-50 (Standard)
harmonyalexapressllc,9,0.0,10.2,1.4,0.0,0.0,0.0,100.0,0.0,0.0,11.1,Service-Based,0.7,Ultra-Simple,"Weekly Fulfillment, Processing Fees, Postage Fees",6-20 (Simple)
comfortworkspace,36,0.06,33.1,5.3,27.8,30.6,0.0,30.6,69.4,0.0,2.8,Hybrid (Mixed),10.5,Ultra-Simple,"_EXISTING_Services, Ergohuman Elite G2 Mesh with HR - Black, Delivery - Singles",21-50 (Standard)
capitalsuppliesinc,50,1.12,35.9,6.5,12.0,24.0,0.0,0.0,24.0,76.0,0.0,NonInventory-Based (Digital/Services),15.7,Ultra-Simple,"Garbage Bag 60 Gallon 1.5 BLK (deleted), Glove Nitrile LG, 1000/cs (deleted), Cleaning - Bleach 101, 6/1 GAL",21-50 (Standard)
aqbconsultancy,1,0.0,8.0,2.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,Service-Based,0.1,Ultra-Simple,QBO Plus,1-5 (Ultra-Simple)
